title,author,journal,year,source,pages,volume,abstract,document_type,doi,url,affiliation,author_keywords,keywords,publisher,issn,language,note,selection_criteria,status
API Description-Based Conformance Assessment of Architectural Design Decision,"Singjai, Apitchaka and Zdun, Uwe",,2022,IEEE Digital Library,59-68,,"Microservice APIs are often designed based on Domain-Driven Design. It can be challenging to judge the quality of the relation between such a design and the implemented API, especially when facing frequent releases and changes in an API and its design models. Manual conformance assessment of this relation is time-intensive and error prone. This paper proposes a novel approach for automated conformance assessment of API designs in relation to API design decisions. Our approach aims to provide the first fully automated conformance assessment approach based solely on the code of API Descriptions such as OpenAPI. We applied and exemplified our approach for checking conformance to the patterns and practices in an API design decision for mapping links in a system’s domain model to API representations. The total accuracy score (F1-measure) for decision option identification in our multi-case study for this decision is 97.22%.",,10.1109/SOSE55356.2022.00013,,,,Privacy;Codes;Automation;Service-oriented systems engineering;Microservice architectures;Manuals;Machine learning;API Design;ADD;Architecture Conformance Assessment;DDD;Microservice Architecture,,2642-6587,,,,Duplicated
A toolset for conformance testing against UML sequence diagrams based on event-driven colored Petri nets,"Faria, Jo\~{a}o Pascoal and Paiva, Ana C.",Int. J. Softw. Tools Technol. Transf.,2016,ACM Digital Library,285–304,18,"Novel techniques and a toolset are presented for automatically testing the conformance of software implementations against partial behavioral models constituted by a set of parameterized UML sequence diagrams, describing both external interactions with users or client applications and internal interactions between objects in the system. Test code is automatically generated from the sequence diagrams and executed on the implementation under test, and test results and coverage information are presented back visually in the model. A runtime test library handles internal interaction checking, test stubs, and user interaction testing, taking advantage of aspect-oriented programming techniques. Incremental conformance checking is achieved by first translating sequence diagrams to Extended Petri Nets that combine the characteristics of Colored Petri Nets and Event-Driven Petri Nets.",,10.1007/s10009-014-0354-x,https://doi.org/10.1007/s10009-014-0354-x,,,"Conformance testing, Petri nets, Sequence diagrams",Springer-Verlag,1433-2779,,,,Duplicated
"An architectural style for scalable choreography-based
microservice-oriented distributed systems","Filippone, Gianluca and Pompilio, Claudio and Autili, Marco and Tivoli,
Massimo",COMPUTING,2023,ISI Web of Science,1933-1956,105,"Service choreographies are a versatile approach for building
service-based distributed systems. Many approaches can be found in the
literature tackling different aspects of service choreographies, such as
choreography realizability and conformance checking, distributed
coordination, formal choreographic languages, and scalability. As of
today, choreography scalability has not been specifically addressed
through approaches that also consider coordination issues while still
decoupling these two related aspects. Scalability is one of the most
important properties to be considered when building distributed systems.
It enhances the user-perceived performances and influences the overall
dependability of the system. In particular, load scalability allows
distributed service-oriented systems to effectively handle varying loads
without suffering performance degradation. In this direction,
microservice-based systems are able to scale thanks to the possibility
of replicating those microservices exposed to growing loads,
distributing their workload among different instances. By leveraging on
our experience in coordinating service choreographies, in this paper, we
propose a layered architectural style that allows to realize scalable
microservice-oriented choreographies. The architecture integrates a
fully-distributed coordination layer capable of ensuring the correct
interactions and a load-balancing layer that allows to balance of
coordinated requests. We discuss the properties of the proposed
architectural style and evaluate its benefits on user-perceived
performances.",Article,10.1007/s00607-022-01139-5,,"Filippone, G (Corresponding Author), Univ Laquila, Dept Informat Engn Comp Sci \& Math, Via Vetoio, I-67100 Laquila, Italy.
Filippone, Gianluca; Pompilio, Claudio; Autili, Marco; Tivoli, Massimo, Univ Laquila, Dept Informat Engn Comp Sci \& Math, Via Vetoio, I-67100 Laquila, Italy.",,Distributed systems; Microservices; Scalability; Load balancing,SPRINGER WIEN,0010-485X,English,,,Duplicated
An approach to variability management in service-oriented product lines,"Khoshnevis, Sedigheh",,2012,IEEE Digital Library,1483-1486,,"Service-Oriented product lines (SOPLs) are dynamic software product lines, in which, the products are developed based on services and service-oriented architecture. Although there are similarities between components and services, there are important differences so that we cannot use component-based product line engineering methods and techniques for SOPL engineering. These differences emerge from the fact that, services can be discovered as black box elements from external repositories. Moreover, services can be dynamically bound and are business-aligned. Therefore, analyzing the conformance of discovered external services with the variability of services in the SOPL - which must be aligned to the variable business needs-is necessary. Variability must be managed, that is, it must be represented (modeled), used (instantiated and capable of conformance checking) and maintained (evolved) over time. Feature Models are insufficient for modeling variability in SOPL, because, services cannot be simply mapped to one or more features, and identification of the mapping depends on knowing the detailed implementation of the services. This research aims at providing an approach to managing the variability in SOPLs so that external services can be involved in the SOPL engineering. This paper presents an overview of the proposal.",,10.1109/ICSE.2012.6227056,,,,Business;Support vector machines;Modeling;Service oriented architecture;Biological system modeling;Computers;Service-Oriented Product Line;Variability Management;Variability Modeling;Conformance Checking,,1558-1225,,,,Duplicated
"API Description-Based Conformance Assessment of Architectural Design
Decision","Singjai, Apitchaka and Zdun, Uwe",,2022,ISI Web of Science,59-68,,"Microservice APIs are often designed based on Domain-Driven Design. It
can be challenging to judge the quality of the relation between such a
design and the implemented API, especially when facing frequent releases
and changes in an API and its design models. Manual conformance
assessment of this relation is time-intensive and error prone. This
paper proposes a novel approach for automated conformance assessment of
API designs in relation to API design decisions. Our approach aims to
provide the first fully automated conformance assessment approach based
solely on the code of API Descriptions such as OpenAPI. We applied and
exemplified our approach for checking conformance to the patterns and
practices in an API design decision for mapping links in a system's
domain model to API representations. The total accuracy score
(F1-measure) for decision option identification in our multi-case study
for this decision is 97.22\%.",Proceedings Paper,10.1109/SOSE55356.2022.00013,,"Singjai, A (Corresponding Author), Univ Vienna, Res Grp Software Architecture, Vienna, Austria.
Singjai, Apitchaka; Zdun, Uwe, Univ Vienna, Res Grp Software Architecture, Vienna, Austria.",,"API Design; ADD; Architecture Conformance Assessment; DDD; Microservice
Architecture",IEEE COMPUTER SOC,2642-6587,English,"16th IEEE International Conference on Service-Oriented System
Engineering (SOSE), San Francisco, CA, AUG 15-18, 2022",,Duplicated
"A formal and visual modeling approach to choreography based web services
composition and conformance verification","Yeung, W. L.",EXPERT SYSTEMS WITH APPLICATIONS,2011,ISI Web of Science,12772-12785,38,"Web services have emerged as the building blocks of a service-oriented
architecture that supports not only enterprise application integration
(EAI) and business process management (BPM) within an organization but
also B2B collaboration based on business process integration. The web
services choreography approach to B2B process integration allows
business partners to orchestrate their own web services privately, while
conforming with an agreed specification of the common ordering
conditions and constraints under which messages are exchanged among
partners' web services. In this approach, choreography conformance is an
essential requirement for the successful implementation of collaborative
processes. A formal approach to web services composition and conformance
verification based on WS-CDL and WS-BPEL is presented. This approach
involves model checking as an automated means of verifying choreography
conformance. The main contributions include a precise notion of
choreography conformance on which verification is based as well as
support for the complementary use of visual modeling (e.g. UML) and
standard WS-{*} notations in composition. (C) 2011 Elsevier Ltd. All
rights reserved.",Article,10.1016/j.eswa.2011.04.068,,"Yeung, WL (Corresponding Author), Lingnan Univ, Dept Comp \& Decis Sci, Hong Kong, Hong Kong, Peoples R China.
Lingnan Univ, Dept Comp \& Decis Sci, Hong Kong, Hong Kong, Peoples R China.",,"Web services; Orchestration; Choreography; Conformance verification;
Model checking; Contract negotiation",PERGAMON-ELSEVIER SCIENCE LTD,0957-4174,English,,,Duplicated
A formal and visual modeling approach to choreography based web services composition and conformance verification,"Yeung, W.L.",Expert Syst. Appl.,2011,ACM Digital Library,12772–12785,38,,,10.1016/j.eswa.2011.04.068,https://doi.org/10.1016/j.eswa.2011.04.068,,,"Web services, Orchestration, Choreography, Conformance verification, Model checking, Contract negotiation","Pergamon Press, Inc.",0957-4174,,,,Duplicated
A Decomposition and Metric-Based Evaluation Framework for Microservices,"Taibi, Davide and Systa, Kari",,2020,ISI Web of Science,133-149,1218,"Migrating from monolithic systems into microservice is a very complex
task. Companies are commonly decomposing the monolithic system manually,
analyzing dependencies of the monolith and then assessing different
decomposition options. The goal of our work is two-folded: 1) we provide
a microservice measurement framework to objectively evaluate and compare
the quality of microservices-based systems; 2) we propose a
decomposition system based on business process mining. The microservice
measurement framework can be applied independently from the
decomposition process adopted, but is also useful to continuously
evaluate the architectural evolution of a system. Results show that the
decomposition framework helps companies to easily identify the different
decomposition options. The measurement framework can help to decrease
the subjectivity of the decision between different decomposition options
and to evaluate architectural erosion in existing systems.",Proceedings Paper,10.1007/978-3-030-49432-2\_7,,"Taibi, D; Systä, K (Corresponding Author), Tampere Univ, TASE Tampere Software Engn Res Grp, Tampere, Finland.
Taibi, Davide; Systa, Kari, Tampere Univ, TASE Tampere Software Engn Res Grp, Tampere, Finland.",,"Microservices; Cloud-native; Microservice slicing; Microservice
decomposition; Microservice migration",SPRINGER INTERNATIONAL PUBLISHING AG,1865-0929,English,"9th International Conference on Cloud Computing and Services Science
(CLOSER), Heraklion, GREECE, MAY 02-04, 2019",,Duplicated
Automatic Component Protocol Generation and Verification of Components,"Both, Andreas and Richter, Dirk",,2010,ISI Web of Science,94-101,,"In several works a method was suggested to overcome the lack of
signature-based composition currently enabled in component-based and
service-oriented architectures (SOA). Several approaches allow to encode
non-functional properties of a single component in a contract (component
protocol) where the remote calls to a component are taken into
consideration. Component protocols ensures that bugs or unsafe behavior
caused interaction sequences are obeyed. Encoding business rules works
fine as these contracts can be derived from human knowledge only and
have to be defined manually, too.
In this work we will show, how such unsafe behavior within source code
can be discovered and prevented by automatic component protocol
generation and model checking techniques.",Proceedings Paper,10.1109/SEAA.2010.30,,"Both, A (Corresponding Author), Univ Halle, Inst Comp Sci, D-06120 Halle, Saale, Germany.
Both, Andreas; Richter, Dirk, Univ Halle, Inst Comp Sci, D-06120 Halle, Saale, Germany.",,"component-based software engineering; protocol generation; protocol
conformance checking; verification; model checking; component
composition",IEEE COMPUTER SOC,1089-6503,English,"36th EUROMICRO Conference on Software Engineering and Advanced
Applications (SEAA2010), Univ Lille Nord France, Polytechn Grad Engn
Sch, Lille, FRANCE, SEP 01-03, 2010",,Duplicated
"I Will Survive: An Event-driven Conformance Checking Approach Over
Process Streams","Raun, Kristo and Tommassini, Riccardo and Awad, Ahmed",,2023,ISI Web of Science,49-60,,"Online conformance checking deals with finding discrepancies between
real-life and modeled behavior on data streams. The current
state-of-the-art output of online conformance checking is a
prefixalignment, which is used for pinpointing the exact deviations in
terms of the trace and the model while accommodating a trace's unknown
termination in an online setting. Current methods for producing
prefix-alignments are computationally expensive and hinder the
applicability in real-life settings. This paper introduces a new
approximate algorithm - I Will Survive (IWS). The algorithm utilizes the
trie data structure to improve the calculation speed, while remaining
memory-efficient. Comparative analysis on real-life and synthetic
datasets shows that the IWS algorithm can achieve an order of magnitude
faster execution time while having a smaller error cost, compared to the
current state of the art. In extreme cases, the IWS finds
prefixalignments roughly three orders of magnitude faster than previous
approximate methods. The IWS algorithm includes a discounted decay time
setting for more efficient memory usage and a lookahead limit for
improving computation time. Finally, the algorithm is stress tested for
performance using a simulation of high-traffic event streams.",Proceedings Paper,10.1145/3583678.3596887,,"Raun, K (Corresponding Author), Univ Tartu, Tartu, Estonia.
Raun, Kristo; Tommassini, Riccardo; Awad, Ahmed, Univ Tartu, Tartu, Estonia.
Tommassini, Riccardo, INSA Lyon, LIRIS Lab, Lyon, France.
Awad, Ahmed, Cairo Univ, Giza, Egypt.",,"online conformance checking; event-based business process management;
prefix-alignments; data streams",ASSOC COMPUTING MACHINERY,,English,"17th International Conference on Distributed and Event Based
Systems-DEBS, Neuchatel, SWITZERLAND, JUN 27-30, 2023",,Duplicated
"Detecting and Resolving Coupling-Related Infrastructure as Code Based
Architecture Smells in Microservice Deployments","Ntentos, Evangelos and Zdun, Uwe and Falazi, Ghareeb and Breitenbucher,
Uwe and Leymann, Frank",,2023,ISI Web of Science,201-211,,"The Infrastructure as Code (IaC) concept enables IT infrastructure to be
managed as software: resources can be managed, monitored, and
provisioned automatically instead of manually by developers or
operations teams. Many industries have already embraced this concept
widely. However, research on IaC-based deployments, particularly
research focusing on loose coupling, often does not offer methods for
evaluating architectural conformance, spotting architecture smells, and
support for correcting the found smells. Our work strives to provide an
automatic method for continuously developing microservice-based systems
and the associated infrastructure. We aim to offer an automated
architectural refactoring method that checks if IaC-based deployments
adhere to patterns and best practices and do not contain potential
architectural smells. We provide architects with viable options for
enhancing architectural conformance during microservice development. In
short, by continuously detecting architectural smells and suggesting
possible fixes, we aim to support architecture evolution within the
framework of continuous delivery practices. We evaluate our approach
using three case studies and variants based on open-source microservice
architectures.",Proceedings Paper,10.1109/CLOUD60044.2023.00031,,"Ntentos, E (Corresponding Author), Univ Vienna, Software Architecture Grp, Vienna, Austria.
Ntentos, E (Corresponding Author), Univ Vienna, Doctoral Sch Comp Sci, Vienna, Austria.
Ntentos, Evangelos, Univ Vienna, Software Architecture Grp, Vienna, Austria.
Ntentos, Evangelos, Univ Vienna, Doctoral Sch Comp Sci, Vienna, Austria.
Zdun, Uwe, Univ Vienna, Software Architecture Grp, Vienna, Austria.
Falazi, Ghareeb; Breitenbucher, Uwe; Leymann, Frank, Univ Stuttgart, Inst Architecture Applicat Syst, ",,"Infrastructure as code; metrics; architecture smells; modeling; best
practices",IEEE COMPUTER SOC,2159-6182,English,"IEEE 16th International Conference on Cloud Computing (IEEE CLOUD),
Chicago, IL, JUL 02-08, 2023",,Duplicated
"Exploring Architectural Evolution in Microservice Systems Using
Repository Mining Techniques and Static Code Analysis","Genfer, Patric and Zdun, Uwe",,2024,ISI Web of Science,157-173,14889,"Microservices have gained popularity for isolating service functionality
and mitigating issues such as architectural erosion and technical debt.
However, their decentralized nature and rapid development often obscure
the holistic view of the system and lead developers to lose sight of the
overarching architecture. Our work addresses this challenge by proposing
a novel approach to track and assess the evolution of microservice
architectures through static source code analysis. We combine source
code repository mining techniques with architectural reconstruction to
measure various metrics throughout a system's development history. Our
approach uses a formal API-based decomposition model that can easily be
adapted for different scenarios by choosing various architectural
metrics. We validated our method's scalability and robustness through a
case study on an extensive open-source microservice reference system
with more than 40 individual services written in different languages and
more than 400 commits. Our research provides software architects with a
powerful tool to identify and monitor problematic architectural trends
before they become imminent threats, enabling the evolution of
microservice-based systems while maintaining architectural coherence and
integrity.",Proceedings Paper,10.1007/978-3-031-70797-1\_10,,"Genfer, P (Corresponding Author), Univ Vienna, Res Grp Software Architecture, Fac Comp Sci, Vienna, Austria.
Genfer, P (Corresponding Author), Univ Vienna, Univ Doctoral Sch Comp Sci DoCS, Vienna, Austria.
Genfer, Patric; Zdun, Uwe, Univ Vienna, Res Grp Software Architecture, Fac Comp Sci, Vienna, Austria.
Genfer, Patric, Univ Vienna, Univ Doctoral Sch Comp Sci DoCS, Vienna, Austria.",,"Microservice API; evolution; source code repository mining; metrics;
source code detectors",SPRINGER INTERNATIONAL PUBLISHING AG,0302-9743,English,"18th European Conference on Software Architecture (ECSA), Luxembourg
City, LUXEMBOURG, SEP 03-06, 2024",,Duplicated
"Leveraging Petri Nets for Workflow Anomaly Detection in Microservice
Architectures","Kamboj, Priyanka and Artho, Cyrille and Guanciale, Roberto and
Jabbarvand, Reyhaneh and Godfrey, Brighten",,2025,ISI Web of Science,219-241,15714,"Modern microservice architectures pose challenges in understanding and
managing the complex workflows within these decentralized services. In
particular, it is difficult to identify anomalous behavior that could
indicate a bug or attack. We use traces of microservice application
activity (requests and responses) to infer a model of the application's
normal behavior. Our approach mines Petri nets to formally represent
concurrent operations and their temporal dependencies with a targeted
delay injection approach that accurately and efficiently learns these
dependencies. The models produced are both explainable and easy to
inspect, which offers more transparency and control. Our evaluation
shows that injecting delays during model training allows us to achieve
perfect model and log fitness (Move-Model and Move-Log fitness of 1)
with just 29 traces. In contrast, a straightforward approach requires
over 10,000 traces to achieve similar accuracy. Our models successfully
identify anomalies in various experiments, such as traces with one
missing or multiple missing activities, and reordered sequences to
simulate issues in real-world scenarios. Our approach outperforms the
state-of-the-art method, demonstrating higher accuracy.",Proceedings Paper,10.1007/978-3-031-94634-9\_11,,"Guanciale, R (Corresponding Author), KTH Royal Inst Technol Univ, Stockholm, Sweden.
Kamboj, Priyanka; Artho, Cyrille; Guanciale, Roberto, KTH Royal Inst Technol Univ, Stockholm, Sweden.
Jabbarvand, Reyhaneh; Godfrey, Brighten, Univ Illinois, Chicago, IL USA.",,"Alignments; Cost function; Delay; Microservices; Process mining; Process
discovery; Conformance Checking",SPRINGER INTERNATIONAL PUBLISHING AG,0302-9743,English,"46th International Conference on Application and Theory of Petri Nets
and Concurrency-PETRI NETS-Annual, FRANCE, JUN 22-27, 2025",,Duplicated
"IntelliGOV - A Semantic Approach for Compliance Validation of
Service-Oriented Architectures","Teixeira Filho, Haroldo Maria and Azevedo, Leonardo Guerreiro and Matsui
Siqueira, Sean Wolfgand",JOURNAL OF UNIVERSAL COMPUTER SCIENCE,2016,ISI Web of Science,1048-1071,22,"Organizations are adopting Service-Oriented Architecture (SOA) to
increase operation's efficiency and flexibility. To accomplish these
goals, it is necessary to ensure that the architecture and its evolution
are compliant with business goals, best practices, legal and regulatory
requirements. However, the diversity of domains and stakeholders
involved in SOA solutions demands complex and expensive work to validate
the architecture compliance. Hence, it can result in high costs and low
quality assessment if the organization does not use an effective
approach in this scenario. In addition, it would be important to
consider standards and open solutions in order to promote
interoperability and reuse of available tools, making it easier to
spread throughout the organizations. We propose intelliGov, an
architecture that aims to solve these problems by using ontologies,
semantic rules and queries in order to simplify the compliance
validation process. The architecture employs open standards - OWL, SWRL
and SQWRL - in its implementation. A case study, executed in a global
energy company that is currently adopting SOA, demonstrates gains in
quality and costs of the compliance assessment process using the
proposed architecture.",Article,,,"Teixeira, HM (Corresponding Author), Fed Univ State Rio de Janeiro UNIRIO, Rio De Janeiro, Brazil.
Teixeira Filho, Haroldo Maria; Azevedo, Leonardo Guerreiro; Matsui Siqueira, Sean Wolfgand, Fed Univ State Rio de Janeiro UNIRIO, Rio De Janeiro, Brazil.
Azevedo, Leonardo Guerreiro, IBM Res, Rio De Janeiro, Brazil.",,"Service-Oriented Architecture (SOA); Governance; Ontology; Semantic
Rules; Semantic Queries","GRAZ UNIV TECHNOLGOY, INST INFORMATION SYSTEMS COMPUTER MEDIA-IICM",0948-695X,English,,,Duplicated
"Conformance Assessment of Architectural Design Decisions on the Mapping
of Domain Model Elements to APIs and API Endpoints","Singjai, Apitchaka and Zdun, Uwe",,2022,ISI Web of Science,76-83,,"Microservice APIs are often identified and designed based on
Domain-Driven Design (DDD). To help in the continuous analysis of
mappings of domain model elements to APIs and API endpoints, we aim to
automate the assessment of conformance to Architectural Design Decision
(ADD) options. The ADDs, their decision options, and relevant decision
drivers studied in this paper originate from an empirical study on the
mapping of domain model elements to APIs and API endpoints in practice.
We propose automated detectors to detect the decision options of the
ADDs taken in a given microservice API model, and an assessment scoring
scheme based on the empirical knowledge codified in the ADDs. We
evaluate our work, by first manually creating a ground truth for 14
cases in a multi-case study, and then comparing the results of our
automated detectors to the ground truth for each of the 14 cases. In the
cases we were able to identify 86\% of the decision points correctly,
and a statistical analysis of our data shows only a negligible effect
size for differences to the ground truth.",Proceedings Paper,10.1109/ICSA-C54293.2022.00058,,"Singjai, A (Corresponding Author), Univ Vienna, Res Grp Software Architecture, Vienna, Austria.
Singjai, Apitchaka; Zdun, Uwe, Univ Vienna, Res Grp Software Architecture, Vienna, Austria.",,"Microservice Architecture; API Design; DDD; Conformance Assessment;
Architectural Design Decision",IEEE COMPUTER SOC,,English,"19th IEEE International Conference on Software Architecture (ICSA),
ELECTR NETWORK, MAR 12-15, 2022",,Duplicated
"Semi-automatic Feedback for Improving Architecture Conformance to
Microservice Patterns and Practices","Ntentos, Evangelos and Zdun, Uwe and Plakidas, Konstantinos and Geiger,
Sebastian",,2021,ISI Web of Science,36-46,,"Microservices are one of the most recommended architectural styles for
distributed applications that support independent development and
deployment, enable rapid release, and are highly scalable and polyglot.
Many well-established patterns and best practices have been documented
in the literature. As there are many such guidances, they have numerous
interdependencies, and system designs must adhere to many other
architecture constraints, too, implementations do not always conform to
those guidances. In complex or large systems, it can be hard and tedious
to spot violations. Our work aims to offer automated support for
architecting during the continuous evolution of microservice-based
systems. More specifically we aim to provide the foundations for an
automated approach for architecture reconstruction, assessing
conformance to patterns and practices specific for microservice
architectures, and detect possible violations. Based on this, we provide
actionable options to architects for improving architecture conformance
as part of a continuous feedback loop. That is, our goal is to support
architecting in the context of continuous delivery practices, where
architecture violations are continuously analyzed and fix options are
continuously suggested.",Proceedings Paper,10.1109/ICSA51549.2021.00012,,"Ntentos, E (Corresponding Author), Univ Vienna, Fac Comp Sci, Res Grp Software Architecture, Vienna, Austria.
Ntentos, Evangelos; Zdun, Uwe; Plakidas, Konstantinos, Univ Vienna, Fac Comp Sci, Res Grp Software Architecture, Vienna, Austria.
Geiger, Sebastian, Siemens Corp Technol, Vienna, Austria.",,"Microservices; patterns; best practices; continuous architecture
improvement; feedback loop",IEEE COMPUTER SOC,,English,"18th IEEE International Conference on Software Architecture (ICSA),
Infos e V, ELECTR NETWORK, MAR 22-26, 2021",,Duplicated
WEB SERVICE CHOREOGRAPHY CONFORMANCE VERIFICATION THROUGH THE piX-MODEL,"Van Seghbroeck, Gregory and Volckaert, Bruno and De Turck, Filip and
Dhoedt, Bart and Demeester, Piet",INTERNATIONAL JOURNAL OF COOPERATIVE INFORMATION SYSTEMS,2010,ISI Web of Science,1-30,19,"As the adoption of the Service Oriented Architecture paradigm has
dramatically increased over the past few years, proper coordination of
loosely coupled services becomes an important issue when building
state-of-the-art applications. This coordination is typically organized
through orchestration (requiring a central coordinating entity) or
through choreographies. While the latter approach allows for a fully
distributed coordination, the need also arises for a distributed
conformance check, ensuring that each participant of the choreography
behaves according to the general choreography.
In this paper, a formalism is presented to ensure this conformance at
design time, with possible extensions to deploy time and to runtime
conformance checking. This formalism is referred to as the piX-model and
it will be shown that the approach taken is inherently less complex,
both in time and space, than the conventional p-calculus-based approach,
whilst offering the same conformance guarantees. This gain in
performance allows for a small design turnaround time, and also opens
the avenue to runtime conformance checking by resource constrained
devices.",Article,10.1142/S0218843010002097,,"Van Seghbroeck, G (Corresponding Author), Univ Ghent, Dept Informat Technol INTEC, IBBT, Gaston Crommenlaan 8 Bus 201, B-9050 Ghent, Belgium.
Van Seghbroeck, Gregory; Volckaert, Bruno; De Turck, Filip; Dhoedt, Bart; Demeester, Piet, Univ Ghent, Dept Informat Technol INTEC, IBBT, B-9050 Ghent, Belgium.",,Web services; choreography; WS-CDL; open bisimulation,WORLD SCIENTIFIC PUBL CO PTE LTD,0218-8430,English,,,Duplicated
"Evaluating and Improving Microservice Architecture Conformance to
Architectural Design Decisions","Ntentos, Evangelos and Zdun, Uwe and Plakidas, Konstantinos and Geiger,
Sebastian",,2021,ISI Web of Science,188-203,13121,"Microservices are a commonly used architectural style targeting
independent development, deployment, and release of services, as well as
supporting polyglot capabilities and rapid release strategies. This
depends on the presence of certain software architecture qualities. A
number of architecture patterns and best practices that support the
required qualities have been proposed in the literature, but usually in
isolation of one another. Additionally, in real-world systems, assessing
conformance to these patterns and practices and detecting possible
violations is a significant challenge. For small-scale systems of a few
services, a manual assessment and violation detection by an expert is
probably both accurate and sufficient. However, for industrial-scale
systems of several hundred or more services, manual assessment and
violation detection is laborious and likely leads to inaccurate results.
Furthermore, manual assessment is impractical for rapidly evolving and
frequently released system architectures. In this work we examine a
subset of microservice-relevant patterns, and propose a method for the
semi-automatic detection and resolution of conformance violations. Our
aim is to assist the software architect by providing a set of possible
fix options and generating models of ``fixed{''} architectures.",Proceedings Paper,10.1007/978-3-030-91431-8\_12,,"Ntentos, E (Corresponding Author), Univ Vienna, Res Grp Software Architecture, Fac Comp Sci, Vienna, Austria.
Ntentos, Evangelos; Zdun, Uwe; Plakidas, Konstantinos, Univ Vienna, Res Grp Software Architecture, Fac Comp Sci, Vienna, Austria.
Geiger, Sebastian, Siemens Corp Technol, Vienna, Austria.",,,SPRINGER INTERNATIONAL PUBLISHING AG,0302-9743,English,"19th International Conference on Service-Oriented Computing (ICSOC),
ELECTR NETWORK, NOV 22-25, 2021",,Duplicated
