title,author,journal,year,source,pages,volume,abstract,document_type,doi,url,affiliation,author_keywords,keywords,publisher,issn,language,note,selection_criteria,status
CATMA: Conformance Analysis Tool For Microservice Applications,"Cao, Clinton and Schneider, Simon and Ferreyra, Nicolas E. Diaz and
Verwer, Sicco and Panichella, Annibale and Scandariato, Riccardo",,2024,ISI Web of Science,59-63,,"The microservice architecture allows developers to divide the core
functionality of their software system into multiple smaller services.
However, this architectural style also makes it harder for them to debug
and assess whether the system's deployment conforms to its
implementation. We present CATMA, an automated tool that detects
non-conformances between the system's deployment and implementation. It
automatically visualizes and generates potential interpretations for the
detected discrepancies. Our evaluation of CATMA shows promising results
in terms of performance and providing useful insights. CATMA is
available at https://cyber-analytics.nl/catma.github.io/, and a
demonstration video is available at https://youtu.be/WKP1hG-TDKc.",Proceedings Paper,10.1145/3639478.3640022,,"Cao, C (Corresponding Author), Delft Univ Technol, Delft, Netherlands.
Cao, Clinton; Verwer, Sicco; Panichella, Annibale, Delft Univ Technol, Delft, Netherlands.
Schneider, Simon; Ferreyra, Nicolas E. Diaz; Scandariato, Riccardo, Hamburg Univ Technol, Hamburg, Germany.",,"microservices; static analysis; dynamic analysis; software testing;
empirical software engineering",ASSOC COMPUTING MACHINERY,,English,"44th International Conference on Software Engineering: Companion
Proceedings, Lisbon, PORTUGAL, APR 14-20, 2024",,Duplicated
"Metrics for Assessing Architecture Conformance to Microservice
Architecture Patterns and Practices","Ntentos, Evangelos and Zdun, Uwe and Plakidas, Konstantinos and Meixner,
Sebastian and Geiger, Sebastian",,2020,ISI Web of Science,580-596,12571,"Many contemporary service-based systems follow the microservice
approach, particularly in DevOps or continuous delivery contexts. They
share a set of important tenets such as independent development and
deployment, high releasability, polyglot technology support, and loose
coupling. A number of best practices for microservice architectures have
been codified as patterns, which embody those tenets. However, no
real-world microservices system can support all patterns and practices
well, but rather architectural decisions making trade-offs among them
are needed. Conformance to the patterns and practices selected in such
decisions is hard to ensure and assess automatically, especially in
large-scale, complex, and evolving systems. In this work, we propose a
model-based approach based on generic, technology-independent metrics,
tied to typical architectural design decisions in the microservice
domain. With this approach we can measure conformance to the patterns
and related tenets. We demonstrate and assess the validity and
appropriateness of these metrics in performing an assessment of a
system's conformance to patterns through statistical methods.",Proceedings Paper,10.1007/978-3-030-65310-1\_42,,"Ntentos, E (Corresponding Author), Univ Vienna, Fac Comp Sci, Res Grp Software Architecture, Vienna, Austria.
Ntentos, Evangelos; Zdun, Uwe; Plakidas, Konstantinos, Univ Vienna, Fac Comp Sci, Res Grp Software Architecture, Vienna, Austria.
Meixner, Sebastian; Geiger, Sebastian, Siemens Corp Technol, Vienna, Austria.",,,SPRINGER INTERNATIONAL PUBLISHING AG,0302-9743,English,"18th International Conference on Service-Oriented Computing (ICSOC),
ELECTR NETWORK, DEC 14-17, 2020",,Duplicated
Detection Strategies for Microservice Security Tactics,"Zdun, Uwe and Queval, Pierre-Jean and Simhandl, Georg and Scandariato,
Riccardo and Chakravarty, Somik and Jelic, Marjan and Jovanovic,
Aleksandar",IEEE TRANSACTIONS ON DEPENDABLE AND SECURE COMPUTING,2024,ISI Web of Science,1257-1273,21,"Microservice architectures are widely used today to implement
distributed systems. Securing microservice architectures is challenging
because of their polyglot nature, continuous evolution, and various
security concerns relevant to such architectures. This article proposes
a novel, model-based approach providing detection strategies to address
the automated detection of security tactics (or patterns and best
practices) in a given microservice architecture decomposition model. Our
novel detection strategies are metrics-based rules that decide
conformance to a security recommendation based on a statistical
predictor. The proposed approach models this recommendation using
Architectural Design Decisions (ADDs). We apply our approach for four
different security-related ADDs on access management, traffic control,
and avoiding plaintext sensitive data in the context of microservice
systems. We then apply our approach to a model data set of 10
open-source microservice systems and 20 variants of those systems. Our
results are detection strategies showing a very low bias, a very high
correlation, and a low prediction error in our model data set.",Article,10.1109/TDSC.2023.3276487,,"Zdun, U (Corresponding Author), Univ Vienna, Fac Comp Sci, Res Grp Software Architecture, A-1010 Vienna, Austria.
Zdun, Uwe; Queval, Pierre-Jean; Simhandl, Georg, Univ Vienna, Fac Comp Sci, Res Grp Software Architecture, A-1010 Vienna, Austria.
Scandariato, Riccardo, Hamburg Univ Technol TUHH, D-21073 Hamburg, Germany.
Chakravarty, Somik; Jelic, Marjan; Jovanovic, Aleksandar, European Risk \& Resilience Inst EU VRi, D-70599 Stuttgart, Germany.",,"Security; Microservice architectures; Measurement; Authorization; Data
models; Computer architecture; Codes; Conformance checking; detection
strategies; metrics; microservice architecture security; microservices",IEEE COMPUTER SOC,1545-5971,English,,,Duplicated
"Ensuring and Assessing Architecture Conformance to Microservice
Decomposition Patterns","Zdun, Uwe and Navarro, Elena and Leymann, Frank",,2017,ISI Web of Science,411-429,10601,"Microservice-based software architecture design has been widely
discussed, and best practices have been published as architecture design
patterns. However, conformance to those patterns is hard to ensure and
assess automatically, leading to problems such as architectural drift
and erosion, especially in the context of continued software evolution
or large-scale microservice systems. In addition, not much in the
component and connector architecture models is specific (only) to the
microservices approach, whereas other aspects really specific to that
approach, such as independent deployment of microservices, are usually
modeled in other views or not at all. We suggest a set of constraints to
check and metrics to assess architecture conformance to microservice
patterns. In comparison to expert judgment derived from the patterns, a
subset of these constraints and metrics shows a good relative
performance and potential for automation.",Proceedings Paper,10.1007/978-3-319-69035-3\_29,,"Zdun, U (Corresponding Author), Univ Vienna, Fac Comp Sci, Res Grp Software Architecture, Vienna, Austria.
Zdun, Uwe, Univ Vienna, Fac Comp Sci, Res Grp Software Architecture, Vienna, Austria.
Navarro, Elena, Univ Castilla La Mancha, Comp Syst Dept, Lab User Interact \& Software Engn, Albacete, Spain.
Leymann, Frank, Univ Stuttgart, Inst Architecture Applicat Syst, Stuttgart, Germany.",,,SPRINGER INTERNATIONAL PUBLISHING AG,0302-9743,English,"15th International Conference on Service-Oriented Computing (ICSOC),
Malaga, SPAIN, NOV 13-16, 2017",,Duplicated
"Conformance assessment of Architectural Design Decisions on API endpoint
designs derived from domain models","Singjai, Apitchaka and Zdun, Uwe",JOURNAL OF SYSTEMS AND SOFTWARE,2022,ISI Web of Science,,193,"Context: Domain-driven design (DDD) is commonly used to design
microservices. A crucial aspect of microservice design is API design,
which includes the design of API endpoints.
Objective: Our objective is to automate the assessment of conformance to
Architectural Design Decisions (ADDs) on the interrelation of DDD and
APIs. In particular, we studied link mapping, API operation design, and
resource segregation as API endpoint design issues that are linked to
domain model design. We particularly aim to address conformance checking
in the context of frequent release practices, as frequent manual
conformance checking is difficult or infeasible.
Methods: We suggest a new approach for the automated assessment of
conformance to ADD options. The approach suggests automated detectors to
detect ADD options selected in a given API endpoint design, as well as
an assessment scoring scheme based on empirical results. For the
evaluation of our approach, we first manually created a ground truth for
12 cases in a multi-case study, and then compared the results of our
automated detectors to the ground truth for each of those cases.
Results: With our approach, all ADD options in our multi-case study
possibly can be automatically detected. Without further improvements,
our approach identifies 83\% of the decision points in the multi-case
study correctly. A statistical analysis of our data shows only a
negligible effect size for differences to the ground truth.
Conclusion: Our new approach provides a pragmatic method for automated
detection of conformance to ADDs on the interrelation of DDD and APIs.
The approach can support the continuous analysis of API endpoint
designs. (c) 2022 The Authors. Published by Elsevier Inc. This is an
open access article under the CC BY license
(http://creativecommons.org/licenses/by/4.0/).",Article,10.1016/j.jss.2022.111433,,"Singjai, A (Corresponding Author), Univ Vienna, Res Grp Software Architecture, Fac Comp Sci, Vienna, Austria.
Singjai, Apitchaka; Zdun, Uwe, Univ Vienna, Res Grp Software Architecture, Fac Comp Sci, Vienna, Austria.",,"Microservice architecture; API design; Domain driven design;
Architecture conformance assessment",ELSEVIER SCIENCE INC,0164-1212,English,,,Duplicated
"Extracting the Architecture of Microservices: An Approach for
Explainability and Traceability","Queval, Pierre-Jean and Zdun, Uwe",,2023,ISI Web of Science,346-353,14212,"The polyglot nature of microservice architectures and the need for high
reliability in security analyses pose unique challenges that existing
approaches to automatic architecture recovery often fail to address.
This article proposes an approach for extracting detailed architecture
models from polyglot microservice source code focusing on explainability
and traceability. The approach involves abstracting code navigation as a
tree structure, using an exploratory algorithm to detect architectural
aspects, and providing a set of generic detectors as input. The
architecture models are automatically annotated with detailed
information that makes them useful for architecture conformance checking
and violation fixing. Our case studies of microservice software systems
validate the usefulness of our approach, providing insights into its
completeness, accuracy, and effectiveness for software architecture
tasks.",Proceedings Paper,10.1007/978-3-031-42592-9\_24,,"Quéval, PJ (Corresponding Author), Univ Vienna, Vienna, Austria.
Quéval, PJ (Corresponding Author), Doctoral Sch Comp Sci, Vienna, Austria.
Queval, Pierre-Jean; Zdun, Uwe, Univ Vienna, Vienna, Austria.
Queval, Pierre-Jean, Doctoral Sch Comp Sci, Vienna, Austria.",,Architecture; Explainability; Microservices; Polyglot,SPRINGER INTERNATIONAL PUBLISHING AG,0302-9743,English,"17th European Conference on Software Architecture (ECSA), Istanbul,
TURKEY, SEP 18-22, 2023",,Duplicated
Detecting and Resolving Coupling-Related Infrastructure as Code Based Architecture Smells in Microservice Deployments,"Ntentos, Evangelos and Zdun, Uwe and Falazi, Ghareeb and Breitenbücher, Uwe and Leymann, Frank",,2023,IEEE Digital Library,201-211,,"The Infrastructure as Code (IaC) concept enables IT infrastructure to be managed as software: resources can be managed, monitored, and provisioned automatically instead of manually by developers or operations teams. Many industries have already embraced this concept widely. However, research on IaC-based deployments, particularly research focusing on loose coupling, often does not offer methods for evaluating architectural conformance, spotting architecture smells, and support for correcting the found smells. Our work strives to provide an automatic method for continuously developing microservice-based systems and the associated infrastructure. We aim to offer an automated architectural refactoring method that checks if IaCbased deployments adhere to patterns and best practices and do not contain potential architectural smells. We provide architects with viable options for enhancing architectural conformance during microservice development. In short, by continuously detecting architectural smells and suggesting possible fixes, we aim to support architecture evolution within the framework of continuous delivery practices. We evaluate our approach using three case studies and variants based on open-source microservice architectures.",,10.1109/CLOUD60044.2023.00031,,,,Industries;Couplings;Cloud computing;Codes;Microservice architectures;Focusing;Computer architecture;Infrastructure as code;metrics;architecture smells;modeling;best practices,,2159-6190,,,,Duplicated
Conformance Assessment of Architectural Design Decisions on the Mapping of Domain Model Elements to APIs and API Endpoints,"Singjai, Apitchaka and Zdun, Uwe",,2022,IEEE Digital Library,76-83,,"Microservice APIs are often identified and designed based on Domain-Driven Design (DDD). To help in the continuous analysis of mappings of domain model elements to APIs and API endpoints, we aim to automate the assessment of conformance to Architectural Design Decision (ADD) options. The ADDs, their decision options, and relevant decision drivers studied in this paper originate from an empirical study on the mapping of domain model elements to APIs and API endpoints in practice. We propose automated detectors to detect the decision options of the ADDs taken in a given microservice API model, and an assessment scoring scheme based on the empirical knowledge codified in the ADDs. We evaluate our work, by first manually creating a ground truth for 14 cases in a multi-case study, and then comparing the results of our automated detectors to the ground truth for each of the 14 cases. In the cases we were able to identify 86% of the decision points correctly, and a statistical analysis of our data shows only a negligible effect size for differences to the ground truth.",,10.1109/ICSA-C54293.2022.00058,,,,Adaptation models;Automation;Statistical analysis;Software architecture;Conferences;Microservice architectures;Detectors;Microservice Architecture;API Design;DDD;Conformance Assessment;Architectural Design Decision,,2768-4288,,,,Duplicated
CATMA: Conformance Analysis Tool For Microservice Applications,"Cao, Clinton and Schneider, Simon and Díaz Ferreyra, Nicolás E. and Verwer, Sicco and Panichella, Annibale and Scandariato, Riccardo",,2024,IEEE Digital Library,59-63,,"The microservice architecture allows developers to divide the core functionality of their software system into multiple smaller services. However, this architectural style also makes it harder for them to debug and assess whether the system's deployment conforms to its implementation. We present CATMA, an automated tool that detects non-conformances between the system's deployment and implementation. It automatically visualizes and generates potential interpretations for the detected discrepancies. Our evaluation of CATMA shows promising results in terms of performance and providing useful insights. CATMA is available at https.//cyber-analytics.nl!catma.github.io/, and a demonstration video is available at https://youtu.be/WKP1hG-TDKc.",,10.1145/3639478.3640022,,,,Visualization;Microservice architectures;Computer architecture;Software systems;Software engineering;microservices;static analysis;dynamic analysis;software testing;empirical software engineering,,2574-1934,,,,Duplicated
Automatic Reference Architecture Conformance Checking for SOA-Based Software Systems,"Weinreich, Rainer and Buchgeher, Georg",,2014,IEEE Digital Library,95-104,,"Company-wide reference architectures are an important means for standardization and reuse. Standardization is enforced through reference architecture conformance checking. Manual conformance checking is too time- and resource-intensive to be performed continuously for the various systems that are part of a SOA. We present an approach for automatic reference architecture conformance checking of SOA-based software systems. Reference architectures are defined based on rules consisting of roles and of constraints on roles and role relationships. By mapping the roles to the elements of a software architecture representation, reference architecture specifications are reusable for different software systems. Through automating the whole checking process, including architecture extraction, role mapping, and rule evaluation, the approach can be applied continuously for the different systems that are part of a SOA. The approach has been developed and refined by applying it to a SOA in the banking domain. During its evolution from semi-automatic to a fully automatic approach it has also changed the way of how architecture information is provided as part of the system implementation in this domain.",,10.1109/WICSA.2014.22,,,,Computer architecture;Service-oriented architecture;Unified modeling language;Object oriented modeling;Protocols;Software systems;software architecture;reference architecture;conformance checking;service-oriented architecture (SOA),,,,,,Duplicated
An approach to variability management in service-oriented product lines,"Khoshnevis, Sedigheh",,2012,ACM Digital Library,1483–1486,,"Service-Oriented product lines (SOPLs) are dynamic software product lines, in which, the products are developed based on services and service-oriented architecture. Although there are similarities between components and services, there are important differences so that we cannot use component-based product line engineering methods and techniques for SOPL engineering. These differences emerge from the fact that, services can be discovered as black box elements from external repositories. Moreover, services can be dynamically bound and are business-aligned. Therefore, analyzing the conformance of discovered external services with the variability of services in the SOPL –which must be aligned to the variable business needs-is necessary. Variability must be managed, that is, it must be represented (modeled), used (instantiated and capable of conformance checking) and maintained (evolved) over time. Feature Models are insufficient for modeling variability in SOPL, because, services cannot be simply mapped to one or more features, and identification of the mapping depends on knowing the detailed implementation of the services. This research aims at providing an approach to managing the variability in SOPLs so that external services can be involved in the SOPL engineering. This paper presents an overview of the proposal.",,,,,,,IEEE Press,,,,,Duplicated
Towards a method for monitoring the coupling evolution of microservice-based architectures,"de Freitas Apolin\'{a}rio, Daniel Rodrigo and de Fran\c{c}a, Breno Bernard Nicolau",,2020,ACM Digital Library,71–80,,"The microservice architecture is claimed to satisfy ongoing software development demands, such as resilience, flexibility, and velocity. However, developing applications based on microservices also brings some drawbacks, such as the increased software operational complexity. Recent studies have also pointed out the lack of methods to prevent problems related to the maintainability of these solutions. Disregarding established design principles during the software evolution may lead to the so-called architectural erosion, which can end up in a condition of unfeasible maintenance. As microservices can be considered a new architecture style, there are few initiatives to monitoring the evolution of software microservice-based architectures. In this paper, we introduce the SYMBIOTE method for monitoring the coupling evolution of microservice-based systems. More specifically, this method collects coupling metrics during runtime (staging or production environments) and monitors them throughout software evolution. The longitudinal analysis of the collected measures allows detecting an upward trend in coupling metrics that could be signs of architectural erosion. To develop the proposed method, we performed an experimental analysis of the coupling metrics behavior using artificially-generated data.",,10.1145/3425269.3425273,https://doi.org/10.1145/3425269.3425273,,,"coupling metrics, maintainability, microservices, software evolution",Association for Computing Machinery,,,,,Duplicated
Exploring Architectural Evolution in&nbsp;Microservice Systems Using Repository Mining Techniques and&nbsp;Static Code Analysis,"Genfer, Patric and Zdun, Uwe",,2024,ACM Digital Library,157–173,,"Microservices have gained popularity for isolating service functionality and mitigating issues such as architectural erosion and technical debt. However, their decentralized nature and rapid development often obscure the holistic view of the system and lead developers to lose sight of the overarching architecture. Our work addresses this challenge by proposing a novel approach to track and assess the evolution of microservice architectures through static source code analysis. We combine source code repository mining techniques with architectural reconstruction to measure various metrics throughout a system’s development history. Our approach uses a formal API-based decomposition model that can easily be adapted for different scenarios by choosing various architectural metrics. We validated our method’s scalability and robustness through a case study on an extensive open-source microservice reference system with more than 40 individual services written in different languages and more than 400 commits. Our research provides software architects with a powerful tool to identify and monitor problematic architectural trends before they become imminent threats, enabling the evolution of microservice-based systems while maintaining architectural coherence and integrity.",,10.1007/978-3-031-70797-1_10,https://doi.org/10.1007/978-3-031-70797-1_10,,,"Microservice API, evolution, source code repository mining, metrics, source code detectors",Springer-Verlag,,,,,Duplicated
Extracting the&nbsp;Architecture of&nbsp;Microservices: An Approach for&nbsp;Explainability and&nbsp;Traceability,"Qu\'{e}val, Pierre-Jean and Zdun, Uwe",,2023,ACM Digital Library,346–353,,"The polyglot nature of microservice architectures and the need for high reliability in security analyses pose unique challenges that existing approaches to automatic architecture recovery often fail to address. This article proposes an approach for extracting detailed architecture models from polyglot microservice source code focusing on explainability and traceability. The approach involves abstracting code navigation as a tree structure, using an exploratory algorithm to detect architectural aspects, and providing a set of generic detectors as input. The architecture models are automatically annotated with detailed information that makes them useful for architecture conformance checking and violation fixing. Our case studies of microservice software systems validate the usefulness of our approach, providing insights into its completeness, accuracy, and effectiveness for software architecture tasks.",,10.1007/978-3-031-42592-9_24,https://doi.org/10.1007/978-3-031-42592-9_24,,,"Architecture, Explainability, Microservices, Polyglot",Springer-Verlag,,,,,Duplicated
Metrics for Assessing Architecture Conformance to Microservice Architecture Patterns and Practices,"Ntentos, Evangelos and Zdun, Uwe and Plakidas, Konstantinos and Meixner, Sebastian and Geiger, Sebastian",,2020,ACM Digital Library,580–596,,"Many contemporary service-based systems follow the microservice approach, particularly in DevOps or continuous delivery contexts. They share a set of important tenets such as independent development and deployment, high releasability, polyglot technology support, and loose coupling. A number of best practices for microservice architectures have been codified as patterns, which embody those tenets. However, no real-world microservices system can support all patterns and practices well, but rather architectural decisions making trade-offs among them are needed. Conformance to the patterns and practices selected in such decisions is hard to ensure and assess automatically, especially in large-scale, complex, and evolving systems. In this work, we propose a model-based approach based on generic, technology-independent metrics, tied to typical architectural design decisions in the microservice domain. With this approach we can measure conformance to the patterns and related tenets. We demonstrate and assess the validity and appropriateness of these metrics in performing an assessment of a system’s conformance to patterns through statistical methods.",,10.1007/978-3-030-65310-1_42,https://doi.org/10.1007/978-3-030-65310-1_42,,,,Springer-Verlag,,,,,Duplicated
Ensuring and Assessing Architecture Conformance to Microservice Decomposition Patterns,"Zdun, Uwe and Navarro, Elena and Leymann, Frank",,2017,ACM Digital Library,411–429,,"Microservice-based software architecture design has been widely discussed, and best practices have been published as architecture design patterns. However, conformance to those patterns is hard to ensure and assess automatically, leading to problems such as architectural drift and erosion, especially in the context of continued software evolution or large-scale microservice systems. In addition, not much in the component and connector architecture models is specific (only) to the microservices approach, whereas other aspects really specific to that approach, such as independent deployment of microservices, are usually modeled in other views or not at all. We suggest a set of constraints to check and metrics to assess architecture conformance to microservice patterns. In comparison to expert judgment derived from the patterns, a subset of these constraints and metrics shows a good relative performance and potential for automation.",,10.1007/978-3-319-69035-3_29,https://doi.org/10.1007/978-3-319-69035-3_29,,,,Springer-Verlag,,,,,Duplicated
Evaluating and Improving Microservice Architecture Conformance to Architectural Design Decisions,"Ntentos, Evangelos and Zdun, Uwe and Plakidas, Konstantinos and Geiger, Sebastian",,2021,ACM Digital Library,188–203,,"Microservices are a commonly used architectural style targeting independent development, deployment, and release of services, as well as supporting polyglot capabilities and rapid release strategies. This depends on the presence of certain software architecture qualities. A number of architecture patterns and best practices that support the required qualities have been proposed in the literature, but usually in isolation of one another. Additionally, in real-world systems, assessing conformance to these patterns and practices and detecting possible violations is a significant challenge. For small-scale systems of a few services, a manual assessment and violation detection by an expert is probably both accurate and sufficient. However, for industrial-scale systems of several hundred or more services, manual assessment and violation detection is laborious and likely leads to inaccurate results. Furthermore, manual assessment is impractical for rapidly evolving and frequently released system architectures. In this work we examine a subset of microservice-relevant patterns, and propose a method for the semi-automatic detection and resolution of conformance violations. Our aim is to assist the software architect by providing a set of possible fix options and generating models of “fixed” architectures.",,10.1007/978-3-030-91431-8_12,https://doi.org/10.1007/978-3-030-91431-8_12,,,,Springer-Verlag,,,,,Duplicated
Constructing a service process model based on distributed tracing for conformance checking of microservices,"Sakai, Masaru and Takahashi, Kensuke",,2022,ACM Digital Library,1–6,,"In recent years, microservices architectures have become widespread, where services are divided into smaller pieces, communicate with each other, and operate in chains. Distributed tracing, which tracks the processing of user requests, is used to analyze and visualize microservices. In this paper, the trace data obtained from the distributed tracing is divided based on the parent-child relationship and converted into an event log. In addition, process discovery is performed on each of the split event logs to estimate the relationships between microservice processes. Then, generate a normal Petri net model that can reproduce each event log. Finally, the test trace data is used to verify the suitability of the Petri net model. We constructed a service model for two sample microservices with different scales and distributed tracing implementations and demonstrated the proposed method's feasibility through conformance checking using test trace data.",,10.1109/NOMS54207.2022.9789804,https://doi.org/10.1109/NOMS54207.2022.9789804,,,,IEEE Press,,,,,Duplicated
Assessing Architecture Conformance to&nbsp;Coupling-Related Infrastructure-as-Code Best Practices: Metrics and&nbsp;Case Studies,"Ntentos, Evangelos and Zdun, Uwe and Soldani, Jacopo and Brogi, Antonio",,2022,ACM Digital Library,101–116,,"Infrastructure as Code (IaC) is an IT practice that facilitates the management of the underlying infrastructure as software. It enables developers or operations teams to automatically manage, monitor, and provision resources rather than organize them manually. In many industries, this practice is widespread and has already been fully adopted. However, few studies provide techniques for evaluating architectural conformance in IaC deployments and, in particular, aspects such as loose coupling. This paper focuses on coupling-related patterns and practices such as deployment strategies and the structuring of IaC elements. Many best practices are documented in gray literature sources, such as practitioner books, blogs, and public repositories. Still, there are no approaches yet to automatically check conformance with such best practices. We propose an approach based on generic, technology-independent metrics tied to typical architectural design decisions for IaC-based practices in microservice deployments to support architecting in the context of continuous delivery practices. We present three case studies based on open-source microservice architectures to validate our approach.",,10.1007/978-3-031-16697-6_7,https://doi.org/10.1007/978-3-031-16697-6_7,,,"Infrastructure as Code, metrics, software architecture, architecture conformance, IaC best practices",Springer-Verlag,,,,,Duplicated
CATMA: Conformance Analysis Tool For Microservice Applications,"Cao, Clinton and Schneider, Simon and Ferreyra, Nicolas E. Diaz and Verwer, Sicco and Panichella, Annibale and Scandariato, Riccardo",,2024,ACM Digital Library,59–63,,"The microservice architecture allows developers to divide the core functionality of their software system into multiple smaller services. However, this architectural style also makes it harder for them to debug and assess whether the system's deployment conforms to its implementation. We present CATMA, an automated tool that detects non-conformances between the system's deployment and implementation. It automatically visualizes and generates potential interpretations for the detected discrepancies. Our evaluation of CATMA shows promising results in terms of performance and providing useful insights. CATMA is available at https://cyber-analytics.nl/catma.github.io/, and a demonstration video is available at https://youtu.be/WKP1hG-TDKc.",,10.1145/3639478.3640022,https://doi.org/10.1145/3639478.3640022,,,"microservices, static analysis, dynamic analysis, software testing, empirical software engineering",Association for Computing Machinery,,,,,Duplicated
Conformance assessment of Architectural Design Decisions on API endpoint designs derived from domain models,"Singjai, Apitchaka and Zdun, Uwe",J. Syst. Softw.,2022,ACM Digital Library,,193,,,10.1016/j.jss.2022.111433,https://doi.org/10.1016/j.jss.2022.111433,,,"Microservice architecture, API design, Domain driven design, Architecture conformance assessment",Elsevier Science Inc.,0164-1212,,,,Duplicated