bibtex_key,title,author,journal,year,source,pages,volume,abstract,document_type,doi,url,affiliation,author_keywords,keywords,publisher,issn,language,note,selection_criteria,status,comments
,"PROS: A Plug-in for Routability Optimization applied in the
State-of-the-art commercial EDA tool using deep learning","Chen, Jingsong and Kuang, Jian and Zhao, Guowei and Huang, Dennis J-H
and Young, Evangeline F. Y.",,2020,ISI Web of Science,,,"Recently the topic of routability optimization with prior knowledge
obtained by machine learning techniques has been widely studied.
However, limited by the prediction accuracy, the predictors of the
existing related works can hardly be applied in a real-world EDA tool
without extra runtime overhead for feature preparation. In this paper,
we revisit this topic and propose a practical plug-in for routability
optimization named PROS which can be applied in the state-of-the-art
commercial EDA tool with negligible runtime overhead. PROS consists of
an effective fully convolutional network (FCN) based predictor that only
utilizes the data from placement result to forecast global routing (GR)
congestion and a parameter optimizer that can reasonably adjust GR cost
parameters based on prediction result to generate a better GR solution
for detailed routing. Experiments on 19 industrial designs in advanced
technology node show that PROS can achieve high accuracy of GR
congestion prediction and significantly reduce design rule checking
(DRC) violations by 11.65\% on average.",Proceedings Paper,10.1145/3400302.3415662,,"Chen, JS (Corresponding Author), Chinese Univ Hong Kong, Hong Kong, Peoples R China.
Chen, Jingsong; Young, Evangeline F. Y., Chinese Univ Hong Kong, Hong Kong, Peoples R China.
Kuang, Jian; Zhao, Guowei; Huang, Dennis J-H, Cadence Design Syst, San Jose, CA USA.",,,IEEE,1933-7760,English,"39th IEEE/ACM International Conference On Computer Aided Design (ICCAD),
ELECTR NETWORK, NOV 02-05, 2020",,Unclassified,
,Physical Verification at Advanced Technology Nodes and the Road Ahead,"Rey, Juan C.",,2020,ISI Web of Science,143,,"In spite of ``doomsday{''} expectations, Moore's Law is alive and well.
Semiconductor manufacturing and design companies, as well as the
Electronic Design Automation (EDA) industry have been pushing ahead to
bring more functionality to satisfy more aggressive
space/power/performance requirements.
Physical verification occupies a unique space in the ecosystem as one of
the key bridges between design and manufacturing. As such, the
traditional space of design rule checking (DRC) and layout versus
schematic (LVS) have expanded into electrical verification and yield
enabling technologies such as optical proximity correction, critical
area analysis, multi-patterning decomposition and automated filling.
To achieve the expected accuracy and performance demanded by the design
and manufacturing community, it is necessary to consider the physical
effects of the manufacturing processes and electronic devices and to use
the most advanced software engineering technology and computational
capabilities.",Proceedings Paper,10.1145/3372780.3378168,,"Rey, JC (Corresponding Author), Mentor, Fremont, CA 94538 USA.
Rey, Juan C., Mentor, Fremont, CA 94538 USA.",,"Electronic Design Automation (EDA); Semiconductor Manufacturing Moore's
Law; Layout Versus Schematics (LVS); Optical Proximity Correction (OPC)",ASSOC COMPUTING MACHINERY,,English,"ACM International Symposium on Physical Design (ISPD), Taipei, TAIWAN,
MAR 29-APR 01, 2020",,Unclassified,
,"Enabling alternating phase shifted mask designs for a full logic gate
level: Design rules and design rule checking","Liebmann, L and Lund, J and Heng, FL and Graur, I",,2001,ISI Web of Science,79-84,,"The International Technology Roadmap for Semiconductors lists F2 (lambda
= 157 mn) optical lithography and extreme ultraviolet next generation
lithography as the two most feasible lithography solutions for the 70 mn
technology node. It is likely that both of these solutions will be late,
forcing ArF (lambda = 193 mn) lithography to operate at unprecedented
resolution levels. Theoretically, alternating phase shifted masks
({''}altPSM{''}) can achieve the resolution required to manufacture 70
mn logic products with ArF lithography equipment, but technical and
logistical challenges associated with the broad implementation of altPSM
require novel and invasive EDA solutions which have caused the industry
to shy away from altPSM in the past. One of the biggest such challenges
is the creation of robust design rule checking (DRC) tools which can
predict whether a given layout has a valid, manufacturable altPSM
solution. This paper takes a detailed look at the technical and
practical issues associated with altPSM design rules and DRC.",Proceedings Paper,,,"Liebmann, L (Corresponding Author), IBM Corp, Microelect, Fishkill, NY USA.
IBM Corp, Microelect, Fishkill, NY USA.",,,ASSOC COMPUTING MACHINERY,0738-100X,English,"38th Design Automation Conference (DAC), LAS VEGAS, NV, JUN 18-22, 2001",,Unclassified,
,"A toolset for conformance testing against UML sequence diagrams based on
event-driven colored Petri nets","Faria, Joao Pascoal and Paiva, Ana C. R.",INTERNATIONAL JOURNAL ON SOFTWARE TOOLS FOR TECHNOLOGY TRANSFER,2016,ISI Web of Science,285-304,18,"Novel techniques and a toolset are presented for automatically testing
the conformance of software implementations against partial behavioral
models constituted by a set of parameterized UML sequence diagrams,
describing both external interactions with users or client applications
and internal interactions between objects in the system. Test code is
automatically generated from the sequence diagrams and executed on the
implementation under test, and test results and coverage information are
presented back visually in the model. A runtime test library handles
internal interaction checking, test stubs, and user interaction testing,
taking advantage of aspect-oriented programming techniques. Incremental
conformance checking is achieved by first translating sequence diagrams
to Extended Petri Nets that combine the characteristics of Colored Petri
Nets and Event-Driven Petri Nets.",Article,10.1007/s10009-014-0354-x,,"Paiva, ACR (Corresponding Author), Univ Porto, Fac Engn, INESC TEC, Rua Campo Alegre 823, P-4100 Oporto, Portugal.
Paiva, ACR (Corresponding Author), Univ Porto, Fac Engn, Dept Informat Engn, Rua Campo Alegre 823, P-4100 Oporto, Portugal.
Faria, Joao Pascoal; Paiva, Ana C. R., Univ Porto, Fac Engn, INESC TEC, Rua Campo Alegre 823, P-4100 Oporto, Portugal.
Faria, Joao Pascoal; Paiva, Ana C. R., Univ Porto, Fac Engn, Dept Informat Engn, Rua Campo Alegre 823, P-4100 Oporto, Portugal.",,Sequence diagrams; Conformance testing; Petri nets,SPRINGER HEIDELBERG,1433-2779,English,,,Unclassified,
,Dynamic checking improves MEMS design methodology.,"Marín, X and Carrabina, J and Bausells, J",,2000,ISI Web of Science,266-271,4019,"Design verification methodologies and tools such as DRC (Design rule
checking) and ERC (Electrical Rule Checking) used on MEMS design have
been inherited from the transistor based analog and digital full custom
design flows. However the devices are defined on a 2D layout, they have
a 3D structure. Thus, current tools do not have into account the new
features that appear in MEMS design, especially those related with
device micromachining. The main consequence on it is that it is
necessary to include information of the vertical (the normal of the
wafer plane) parameters on the DRC, what is not at all usual in
classical design. We claim that the inclusion of such information
together with the consequent improvement of tools for DRC, ERC and
device parameter extraction, can reduce design and simulation efforts as
well as improve the manufacturing yield.",Proceedings Paper,10.1117/12.382310,,"Marín, X (Corresponding Author), CSIC, IMB, Ctr Nacl Microelect, Campus UAB, Bellaterra 08193, Spain.
CSIC, IMB, Ctr Nacl Microelect, Bellaterra 08193, Spain.",,design verification; EDA tools for MEMS; design rule checking,SPIE-INT SOC OPTICAL ENGINEERING,0277-786X,English,"Symposium on Design, Test, Integration, and Packaging of MEMS/MOEMS,
PARIS, FRANCE, MAY 09-11, 2000",,Unclassified,
,"A Lightweight Inception Boosted U-Net Neural Network for Routability
Prediction","Li, Hailiang and Huo, Yan and Wang, Yan and Yang, Xu and Hao, Miaohui
and Wang, Xiao",,2024,ISI Web of Science,648-653,,"As the modern CPU, GPU, and NPU chip's design complexity and transistor
counts keep increasing, and with the relentless shrinking of
semiconductor technology node to nearly 1 nanometer, the placement and
routing have gradually become the two most pivotal processes in modern
very-large-scale-integrated (VLSI) circuit back-end design. How to
evaluate routability efficiently and accurately in advance (at the
placement and global routing stages) has grown into a crucial research
area in the field of artificial intelligence (AI) assisted electronic
design automation (EDA). In this paper, we propose a novel U-Net variant
model boosted by an Inception embedded module to predict Routing
Congestion (RC) and Design Rule Checking (DRC) hotspots. Experimental
results on the recently published CircuitNet dataset benchmark show that
our proposed method achieves up to 5\% (RC) and 20\% (DRC) rate
reduction in terms of Avg-NRMSE (Average Normalized Root Mean Square
Error) compared to the classic architecture. Furthermore, our approach
consistently outperforms the prior model on the SSIM (Structural
Similarity Index Measure) metric.",Proceedings Paper,10.1109/ISEDA62518.2024.10617987,,"Li, HL (Corresponding Author), Hong Kong Appl Sci \& Technol Res Inst Co Ltd ASTR, Adv Elect Components \& Syst AECS Div, Integrated Circuit Enabling Technol ICET Grp, Hong Kong, Peoples R China.
Li, Hailiang; Huo, Yan; Wang, Yan; Yang, Xu; Hao, Miaohui; Wang, Xiao, Hong Kong Appl Sci \& Technol Res Inst Co Ltd ASTR, Adv Elect Components \& Syst AECS Div, Integrated Circuit Enabling Technol ICET Grp, Hong Kong, Peoples R China.",,"Routing Congestion Prediction; Design Rule Checking (DRC) Hotspot
Prediction; Artificial Intelligence for Electronic Design Automation
(EDA); Deep Learning Model; Inception Module based Network",IEEE,,English,"2nd International Symposium of Electronics Design Automation (ISEDA),
Xian, PEOPLES R CHINA, MAY 10-13, 2024",,Unclassified,
,An Approach to Variability Management in Service-Oriented Product Lines,"Khoshnevis, Sedigheh",,2012,ISI Web of Science,1483-1486,,"Service-Oriented product lines (SOPLs) are dynamic software product
lines, in which, the products are developed based on services and
service-oriented architecture. Although there are similarities between
components and services, there are important differences so that we
cannot use component-based product line engineering methods and
techniques for SOPL engineering. These differences emerge from the fact
that, services can be discovered as black box elements from external
repositories. Moreover, services can be dynamically bound and are
business-aligned. Therefore, analyzing the conformance of discovered
external services with the variability of services in the SOPL -which
must be aligned to the variable business needs-is necessary. Variability
must be managed, that is, it must be represented (modeled), used
(instantiated and capable of conformance checking) and maintained
(evolved) over time. Feature Models are insufficient for modeling
variability in SOPL, because, services cannot be simply mapped to one or
more features, and identification of the mapping depends on knowing the
detailed implementation of the services. This research aims at providing
an approach to managing the variability in SOPLs so that external
services can be involved in the SOPL engineering. This paper presents an
overview of the proposal.",Proceedings Paper,,,"Khoshnevis, S (Corresponding Author), Shahid Beheshti Univ, Fac Elect \& Comp Engn, Dept Comp Engn, GC, Tehran, Iran.
Shahid Beheshti Univ, Fac Elect \& Comp Engn, Dept Comp Engn, GC, Tehran, Iran.",,"Service-Oriented Product Line; Variability Management; Variability
Modeling; Conformance Checking",IEEE,0270-5257,English,"34th International Conference on Software Engineering (ICSE), Zurich,
SWITZERLAND, JUN 02-09, 2012",,Unclassified,
,"A Metamodel and Model-based Design Rule Checking DSL for Verification
and Validation of Electronic Circuit Designs","Rumpold, Adrian and Bauer, Bernhard",,2019,ISI Web of Science,315-322,,"Development of embedded systems depends on both software and hardware
design activities. Quality management of development artifacts is of
crucial importance for the overall function and safety of the final
product. This paper introduces a metamodel and model-based approach and
accompanying domain-specific language for validation of electronic
circuit designs. The solution does not depend on any particular
electronic design automation (EDA) software, instead we propose a
workflow that is integrated into a modular, general-purpose model
analysis framework. The paper illustrates both the underlying concepts
as well as possible application scenarios for the developed validation
domain-specific language, MBDRC (Model-Based Design Rule Checking). It
also discusses fields for further research and transfer of the initial
results.",Proceedings Paper,10.5220/0007381303150322,,"Rumpold, A (Corresponding Author), Univ Augsburg, Inst Comp Sci, Augsburg, Germany.
Rumpold, Adrian; Bauer, Bernhard, Univ Augsburg, Inst Comp Sci, Augsburg, Germany.",,"Domain-specific Modeling; Model-based Analysis; Model-based Testing and
Validation; Systems Engineering; Electronic Design Automation; Design
Rule Checking",SCITEPRESS,,English,"7th International Conference on Model-Driven Engineering and Software
Development (MODELSWARD), Prague, CZECH REPUBLIC, FEB 20-22, 2019",,Unclassified,
,"I Will Survive: An Event-driven Conformance Checking Approach Over
Process Streams","Raun, Kristo and Tommassini, Riccardo and Awad, Ahmed",,2023,ISI Web of Science,49-60,,"Online conformance checking deals with finding discrepancies between
real-life and modeled behavior on data streams. The current
state-of-the-art output of online conformance checking is a
prefixalignment, which is used for pinpointing the exact deviations in
terms of the trace and the model while accommodating a trace's unknown
termination in an online setting. Current methods for producing
prefix-alignments are computationally expensive and hinder the
applicability in real-life settings. This paper introduces a new
approximate algorithm - I Will Survive (IWS). The algorithm utilizes the
trie data structure to improve the calculation speed, while remaining
memory-efficient. Comparative analysis on real-life and synthetic
datasets shows that the IWS algorithm can achieve an order of magnitude
faster execution time while having a smaller error cost, compared to the
current state of the art. In extreme cases, the IWS finds
prefixalignments roughly three orders of magnitude faster than previous
approximate methods. The IWS algorithm includes a discounted decay time
setting for more efficient memory usage and a lookahead limit for
improving computation time. Finally, the algorithm is stress tested for
performance using a simulation of high-traffic event streams.",Proceedings Paper,10.1145/3583678.3596887,,"Raun, K (Corresponding Author), Univ Tartu, Tartu, Estonia.
Raun, Kristo; Tommassini, Riccardo; Awad, Ahmed, Univ Tartu, Tartu, Estonia.
Tommassini, Riccardo, INSA Lyon, LIRIS Lab, Lyon, France.
Awad, Ahmed, Cairo Univ, Giza, Egypt.",,"online conformance checking; event-based business process management;
prefix-alignments; data streams",ASSOC COMPUTING MACHINERY,,English,"17th International Conference on Distributed and Event Based
Systems-DEBS, Neuchatel, SWITZERLAND, JUN 27-30, 2023",,Unclassified,
,"A formal and visual modeling approach to choreography based web services
composition and conformance verification","Yeung, W. L.",EXPERT SYSTEMS WITH APPLICATIONS,2011,ISI Web of Science,12772-12785,38,"Web services have emerged as the building blocks of a service-oriented
architecture that supports not only enterprise application integration
(EAI) and business process management (BPM) within an organization but
also B2B collaboration based on business process integration. The web
services choreography approach to B2B process integration allows
business partners to orchestrate their own web services privately, while
conforming with an agreed specification of the common ordering
conditions and constraints under which messages are exchanged among
partners' web services. In this approach, choreography conformance is an
essential requirement for the successful implementation of collaborative
processes. A formal approach to web services composition and conformance
verification based on WS-CDL and WS-BPEL is presented. This approach
involves model checking as an automated means of verifying choreography
conformance. The main contributions include a precise notion of
choreography conformance on which verification is based as well as
support for the complementary use of visual modeling (e.g. UML) and
standard WS-{*} notations in composition. (C) 2011 Elsevier Ltd. All
rights reserved.",Article,10.1016/j.eswa.2011.04.068,,"Yeung, WL (Corresponding Author), Lingnan Univ, Dept Comp \& Decis Sci, Hong Kong, Hong Kong, Peoples R China.
Lingnan Univ, Dept Comp \& Decis Sci, Hong Kong, Hong Kong, Peoples R China.",,"Web services; Orchestration; Choreography; Conformance verification;
Model checking; Contract negotiation",PERGAMON-ELSEVIER SCIENCE LTD,0957-4174,English,,,Unclassified,
,Automata applications in chip-design software,"Watson, Bruce W.",,2007,ISI Web of Science,24-26,4783,"In this paper, I present several new automata applications in software
for electronic design automation (EDA) - chip design. EDA software has
typically been implemented by and for microelectronic engineers, and the
associated algorithmics remains underdeveloped. In several cases, overly
complex algorithms have been used whereas automata could have been
applied after abstracting from the problem details.",Proceedings Paper,,,"Watson, BW (Corresponding Author), Univ Pretoria, FASTAR, ZA-0002 Pretoria, South Africa.
Watson, Bruce W., Univ Pretoria, FASTAR, ZA-0002 Pretoria, South Africa.",,"EDA; integrated circuit layout; pattern matching; design rule checking;
chip design",SPRINGER-VERLAG BERLIN,0302-9743,English,"12th International Conference on Implementation and Application of
Automata, Czech Tech Univ, Prague, CZECH REPUBLIC, JUL 16-18, 2007",,Unclassified,
,"Detecting and Resolving Coupling-Related Infrastructure as Code Based
Architecture Smells in Microservice Deployments","Ntentos, Evangelos and Zdun, Uwe and Falazi, Ghareeb and Breitenbucher,
Uwe and Leymann, Frank",,2023,ISI Web of Science,201-211,,"The Infrastructure as Code (IaC) concept enables IT infrastructure to be
managed as software: resources can be managed, monitored, and
provisioned automatically instead of manually by developers or
operations teams. Many industries have already embraced this concept
widely. However, research on IaC-based deployments, particularly
research focusing on loose coupling, often does not offer methods for
evaluating architectural conformance, spotting architecture smells, and
support for correcting the found smells. Our work strives to provide an
automatic method for continuously developing microservice-based systems
and the associated infrastructure. We aim to offer an automated
architectural refactoring method that checks if IaC-based deployments
adhere to patterns and best practices and do not contain potential
architectural smells. We provide architects with viable options for
enhancing architectural conformance during microservice development. In
short, by continuously detecting architectural smells and suggesting
possible fixes, we aim to support architecture evolution within the
framework of continuous delivery practices. We evaluate our approach
using three case studies and variants based on open-source microservice
architectures.",Proceedings Paper,10.1109/CLOUD60044.2023.00031,,"Ntentos, E (Corresponding Author), Univ Vienna, Software Architecture Grp, Vienna, Austria.
Ntentos, E (Corresponding Author), Univ Vienna, Doctoral Sch Comp Sci, Vienna, Austria.
Ntentos, Evangelos, Univ Vienna, Software Architecture Grp, Vienna, Austria.
Ntentos, Evangelos, Univ Vienna, Doctoral Sch Comp Sci, Vienna, Austria.
Zdun, Uwe, Univ Vienna, Software Architecture Grp, Vienna, Austria.
Falazi, Ghareeb; Breitenbucher, Uwe; Leymann, Frank, Univ Stuttgart, Inst Architecture Applicat Syst, ",,"Infrastructure as code; metrics; architecture smells; modeling; best
practices",IEEE COMPUTER SOC,2159-6182,English,"IEEE 16th International Conference on Cloud Computing (IEEE CLOUD),
Chicago, IL, JUL 02-08, 2023",,Unclassified,
,"Exploring Architectural Evolution in Microservice Systems Using
Repository Mining Techniques and Static Code Analysis","Genfer, Patric and Zdun, Uwe",,2024,ISI Web of Science,157-173,14889,"Microservices have gained popularity for isolating service functionality
and mitigating issues such as architectural erosion and technical debt.
However, their decentralized nature and rapid development often obscure
the holistic view of the system and lead developers to lose sight of the
overarching architecture. Our work addresses this challenge by proposing
a novel approach to track and assess the evolution of microservice
architectures through static source code analysis. We combine source
code repository mining techniques with architectural reconstruction to
measure various metrics throughout a system's development history. Our
approach uses a formal API-based decomposition model that can easily be
adapted for different scenarios by choosing various architectural
metrics. We validated our method's scalability and robustness through a
case study on an extensive open-source microservice reference system
with more than 40 individual services written in different languages and
more than 400 commits. Our research provides software architects with a
powerful tool to identify and monitor problematic architectural trends
before they become imminent threats, enabling the evolution of
microservice-based systems while maintaining architectural coherence and
integrity.",Proceedings Paper,10.1007/978-3-031-70797-1\_10,,"Genfer, P (Corresponding Author), Univ Vienna, Res Grp Software Architecture, Fac Comp Sci, Vienna, Austria.
Genfer, P (Corresponding Author), Univ Vienna, Univ Doctoral Sch Comp Sci DoCS, Vienna, Austria.
Genfer, Patric; Zdun, Uwe, Univ Vienna, Res Grp Software Architecture, Fac Comp Sci, Vienna, Austria.
Genfer, Patric, Univ Vienna, Univ Doctoral Sch Comp Sci DoCS, Vienna, Austria.",,"Microservice API; evolution; source code repository mining; metrics;
source code detectors",SPRINGER INTERNATIONAL PUBLISHING AG,0302-9743,English,"18th European Conference on Software Architecture (ECSA), Luxembourg
City, LUXEMBOURG, SEP 03-06, 2024",,Unclassified,
,"Leveraging Petri Nets for Workflow Anomaly Detection in Microservice
Architectures","Kamboj, Priyanka and Artho, Cyrille and Guanciale, Roberto and
Jabbarvand, Reyhaneh and Godfrey, Brighten",,2025,ISI Web of Science,219-241,15714,"Modern microservice architectures pose challenges in understanding and
managing the complex workflows within these decentralized services. In
particular, it is difficult to identify anomalous behavior that could
indicate a bug or attack. We use traces of microservice application
activity (requests and responses) to infer a model of the application's
normal behavior. Our approach mines Petri nets to formally represent
concurrent operations and their temporal dependencies with a targeted
delay injection approach that accurately and efficiently learns these
dependencies. The models produced are both explainable and easy to
inspect, which offers more transparency and control. Our evaluation
shows that injecting delays during model training allows us to achieve
perfect model and log fitness (Move-Model and Move-Log fitness of 1)
with just 29 traces. In contrast, a straightforward approach requires
over 10,000 traces to achieve similar accuracy. Our models successfully
identify anomalies in various experiments, such as traces with one
missing or multiple missing activities, and reordered sequences to
simulate issues in real-world scenarios. Our approach outperforms the
state-of-the-art method, demonstrating higher accuracy.",Proceedings Paper,10.1007/978-3-031-94634-9\_11,,"Guanciale, R (Corresponding Author), KTH Royal Inst Technol Univ, Stockholm, Sweden.
Kamboj, Priyanka; Artho, Cyrille; Guanciale, Roberto, KTH Royal Inst Technol Univ, Stockholm, Sweden.
Jabbarvand, Reyhaneh; Godfrey, Brighten, Univ Illinois, Chicago, IL USA.",,"Alignments; Cost function; Delay; Microservices; Process mining; Process
discovery; Conformance Checking",SPRINGER INTERNATIONAL PUBLISHING AG,0302-9743,English,"46th International Conference on Application and Theory of Petri Nets
and Concurrency-PETRI NETS-Annual, FRANCE, JUN 22-27, 2025",,Unclassified,
,"D2D-GPT: Leveraging Incremental Learning GPT for Seamless Design Rule
Conversion Across EDA Tools","Wang, Chao and Zhang, Yunxiang and Lu, Wangzilu and Huang, Jiajie and
Zhang, Qing and Yin, Minghui and Zhang, Yuhang and Li, Zhiqiang and Li,
Yongfu",,2024,ISI Web of Science,110-114,,"This paper investigates the use of fine-tuned ChatGPT, in Electronic
Design Automation (EDA) for Design Rule Checking (DRC). As integrated
circuits grow in complexity, so do the design rules, exacerbated by the
diversity of EDA tools with unique DRC specifications. We introduce
D2D-GPT, a unified tool leveraging ChatGPT's language capabilities to
translate DRC specifications across different EDA platforms. This
research focuses on optimizing input datasets - native DRC rules - to
improve ChatGPT's translation accuracy and efficiency. Our objective is
to streamline the EDA workflow, bridge gaps between various tools, and
pave the way for more cohesive design processes in the semiconductor
industry.",Proceedings Paper,10.1109/APCCAS62602.2024.10808537,,"Wang, C; Li, YF (Corresponding Author), Shanghai Jiao Tong Univ, Shanghai, Peoples R China.
Li, ZQ (Corresponding Author), Chinese Acad Sci, Inst Microelect, Beijing, Peoples R China.
Wang, Chao; Zhang, Yunxiang; Lu, Wangzilu; Huang, Jiajie; Zhang, Qing; Zhang, Yuhang; Li, Yongfu, Shanghai Jiao Tong Univ, Shanghai, Peoples R China.
Yin, Minghui; Li, Zhiqiang, Chinese Acad Sci, Inst Microelect, Beijing, Peoples R China.",,"Electronic Design Automation; Design Rule Checking; ChatGPT;
Semiconductor Industry; Machine Learning",IEEE,2837-4576,English,"20th Asia-Pacific Conference on Circuits and Systems, Taipei, TAIWAN,
NOV 07-09, 2024",,Unclassified,
,"IntelliGOV - A Semantic Approach for Compliance Validation of
Service-Oriented Architectures","Teixeira Filho, Haroldo Maria and Azevedo, Leonardo Guerreiro and Matsui
Siqueira, Sean Wolfgand",JOURNAL OF UNIVERSAL COMPUTER SCIENCE,2016,ISI Web of Science,1048-1071,22,"Organizations are adopting Service-Oriented Architecture (SOA) to
increase operation's efficiency and flexibility. To accomplish these
goals, it is necessary to ensure that the architecture and its evolution
are compliant with business goals, best practices, legal and regulatory
requirements. However, the diversity of domains and stakeholders
involved in SOA solutions demands complex and expensive work to validate
the architecture compliance. Hence, it can result in high costs and low
quality assessment if the organization does not use an effective
approach in this scenario. In addition, it would be important to
consider standards and open solutions in order to promote
interoperability and reuse of available tools, making it easier to
spread throughout the organizations. We propose intelliGov, an
architecture that aims to solve these problems by using ontologies,
semantic rules and queries in order to simplify the compliance
validation process. The architecture employs open standards - OWL, SWRL
and SQWRL - in its implementation. A case study, executed in a global
energy company that is currently adopting SOA, demonstrates gains in
quality and costs of the compliance assessment process using the
proposed architecture.",Article,,,"Teixeira, HM (Corresponding Author), Fed Univ State Rio de Janeiro UNIRIO, Rio De Janeiro, Brazil.
Teixeira Filho, Haroldo Maria; Azevedo, Leonardo Guerreiro; Matsui Siqueira, Sean Wolfgand, Fed Univ State Rio de Janeiro UNIRIO, Rio De Janeiro, Brazil.
Azevedo, Leonardo Guerreiro, IBM Res, Rio De Janeiro, Brazil.",,"Service-Oriented Architecture (SOA); Governance; Ontology; Semantic
Rules; Semantic Queries","GRAZ UNIV TECHNOLGOY, INST INFORMATION SYSTEMS COMPUTER MEDIA-IICM",0948-695X,English,,,Unclassified,
