title,author,journal,year,source,pages,volume,abstract,document_type,doi,url,affiliation,author_keywords,keywords,publisher,issn,language,note,selection_criteria,status_human_1,claude_decision,claude_exclusion_criterion,claude_justification,gemini_decision,gemini_exclusion_criterion,gemini_justification,score,status_human_2,status_final
An architectural style for scalable choreography-based microservice-oriented distributed systems,"Filippone, Gianluca and Pompilio, Claudio and Autili, Marco and Tivoli, Massimo",Computing,2023,Scopus,1933 - 1956,105,"Service choreographies are a versatile approach for building service-based distributed systems. Many approaches can be found in the literature tackling different aspects of service choreographies, such as choreography realizability and conformance checking, distributed coordination, formal choreographic languages, and scalability. As of today, choreography scalability has not been specifically addressed through approaches that also consider coordination issues while still decoupling these two related aspects. Scalability is one of the most important properties to be considered when building distributed systems. It enhances the user-perceived performances and influences the overall dependability of the system. In particular, load scalability allows distributed service-oriented systems to effectively handle varying loads without suffering performance degradation. In this direction, microservice-based systems are able to scale thanks to the possibility of replicating those microservices exposed to growing loads, distributing their workload among different instances. By leveraging on our experience in coordinating service choreographies, in this paper, we propose a layered architectural style that allows to realize scalable microservice-oriented choreographies. The architecture integrates a fully-distributed coordination layer capable of ensuring the correct interactions and a load-balancing layer that allows to balance of coordinated requests. We discuss the properties of the proposed architectural style and evaluate its benefits on user-perceived performances. © 2022, The Author(s), under exclusive licence to Springer-Verlag GmbH Austria, part of Springer Nature.",Article,10.1007/s00607-022-01139-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143627065&doi=10.1007%2Fs00607-022-01139-5&partnerID=40&md5=99268a3d9dd57170a99d75632836bdea,,Distributed systems; Load balancing; Microservices; Scalability,Architecture; Architectural style; Building services; Distributed coordination; Distributed systems; Load-Balancing; Microservice; Perceived performance; Property; Service choreographies; Service-based distributed systems; Scalability,,,,Cited by: 2,Studies that do not address Architectural Conformance Checking as a central topic.,Rejected,UNCLASSIFIED,,,UNCLASSIFIED,,,2,,
Reliable Monitoring for Runtime Validation of Choreographies,"von Riegen, Michael and Ritter, Norbert",,2009,IEEE Digital Library,310-315,,"Cross-organizational business processes gain more and more attention in the scientific community. For modeling these processes, choreographies are an adequate solution to describe the observable behavior for each business participant and the corresponding protocols between them. Nevertheless, current approaches mainly focus on modeling and conformance checking before runtime. In contrast, this contribution concentrates on the runtime validation of choreographies and will thus propose a monitoring infrastructure that supports this validation. We will sketch the requirements for a monitoring infrastructure as well as the solutions in order to meet these requirements. Without such a reliable monitoring framework, a runtime validation framework simply would not be able to correctly validate the interactions.",,10.1109/ICIW.2009.52,,,,Monitoring;Runtime;Web services;Service oriented architecture;Instruments;Transport protocols;Collaboration;Web and internet services;Information systems;Business communication;service-oriented architectures;cross-organizational business processes;choreographies;monitoring;validation;interactions,,,,,Studies that do not address Architectural Conformance Checking as a central topic.,Rejected,UNCLASSIFIED,,,UNCLASSIFIED,,,2,,
Multimedia Content Provisioning Using Service Oriented Architectures,"Brunkhorst, Ingo and Tönnies, Sascha and Balke, Wolf-Tilo",,2008,IEEE Digital Library,262-269,,"Today, multimedia system are still widely realized as monolithic systems. But building such applications using Service-Oriented Architectures — especially for the Processing and Delivery of continous Multimedia data streams— has been a controversial topic since years. As a result, applications in the multimedia domain cannot yet benefit from Web service architectures. Thus, building and maintaining large-scale multimedia applications remains a difficult, costly, time-consuming and challenging problem. In this paper we present our approach for building large scale multimedia systems and compare it with the current state of the art, concentrating on the selection and validation of multimedia service composition.",,10.1109/ICWS.2008.37,,,,Service oriented architecture;Streaming media;Multimedia systems;Web services;Buildings;Large-scale systems;Protocols;TV;Prototypes;IPTV;Multimedia Workflows;Conformance Verification;Validation,,,,,Studies that do not address Architectural Conformance Checking as a central topic.,Rejected,UNCLASSIFIED,,,UNCLASSIFIED,,,2,,
Leveraging Petri Nets for&nbsp;Workflow Anomaly Detection in&nbsp;Microservice Architectures,"Kamboj, Priyanka and Artho, Cyrille and Guanciale, Roberto and Jabbarvand, Reyhaneh and Godfrey, Brighten",,2025,ACM Digital Library,219–241,,"Modern microservice architectures pose challenges in understanding and managing the complex workflows within these decentralized services. In particular, it is difficult to identify anomalous behavior that could indicate a bug or attack. We use traces of microservice application activity (requests and responses) to infer a model of the application’s normal behavior. Our approach mines Petri nets to formally represent concurrent operations and their temporal dependencies with a targeted delay injection approach that accurately and efficiently learns these dependencies. The models produced are both explainable and easy to inspect, which offers more transparency and control. Our evaluation shows that injecting delays during model training allows us to achieve perfect model and log fitness (Move-Model and Move-Log fitness of 1) with just 29 traces. In contrast, a straightforward approach requires over 10,000 traces to achieve similar accuracy. Our models successfully identify anomalies in various experiments, such as traces with one missing or multiple missing activities, and reordered sequences to simulate issues in real-world scenarios. Our approach outperforms the state-of-the-art method, demonstrating higher accuracy.",,10.1007/978-3-031-94634-9_11,https://doi.org/10.1007/978-3-031-94634-9_11,,,"Alignments, Cost function, Delay, Microservices, Process mining, Process discovery, Conformance Checking",Springer-Verlag,,,,Studies that do not address Architectural Conformance Checking as a central topic.,Rejected,UNCLASSIFIED,,,UNCLASSIFIED,,,2,,
A Symmetric Petri Net Model of Generic Publish-Subscribe Systems for Verification and Business Process Conformance Checking,"Meyer, Tom",CEUR Workshop Proceedings,2023,Scopus,88 - 109,3430,"The highly decoupled nature of distributed systems can greatly simplify modular development. However, it is easy to lose track of component interactions and emerging system behavior. To inspect the behavior of the aggregated system, an abstract model and analysis tools can be of great help. In this paper, we present such a model that follows the Event-Driven Architecture paradigm. We argue that a Petri net model that captures the event flow, without modeling event data, is a useful abstraction to give insight into a system composed of distributed components. We present a symmetric Petri net model with publish-subscribe middleware and a generic abstraction of components. The model was designed with the intention to produce a finite P/T net to be compatible with current Petri net model checking tools. To build such a model, information about component behavior is necessary. We show that this information is encoded in the system implementation, and we describe potential means for automatic extraction. With the formal Petri net model, we enable the use of established verification methods. We discuss ideas from business process conformance checking and other verification properties that may deepen the system understanding. The proposed methods can be used either for static analysis during design time or to automatically signal issues at runtime. © 2023 Copyright for this paper by its authors. Use permitted under Creative Commons License Attribution 4.0 International (CC BY 4.0).",Conference paper,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166003230&partnerID=40&md5=ad17cf37b861564cb633ca803ac7775f,,Conformance Checking; Distributed System; Event-Driven Architecture; Petri Net Model; Publish-Subscribe; Verification,Message passing; Middleware; Model checking; Petri nets; Static analysis; Business Process; Conformance checking; Distributed systems; Event-driven architectures; Modular development; Petri net models; Publish/subscribe; Publish/Subscribe system; Symmetrics; Verification process; Abstracting,,,,Cited by: 5,Studies that do not address Architectural Conformance Checking as a central topic.,Rejected,UNCLASSIFIED,,,UNCLASSIFIED,,,2,,
IntelliGOV - A semantic approach for compliance validation of service-oriented architectures,"Filho, Haroldo Maria Teixeira and Azevedo, Leonardo Guerreiro and Siqueira, Sean Wolfgand Matsui",Journal of Universal Computer Science,2016,Scopus,1048 - 1071,22,"Organizations are adopting Service-Oriented Architecture (SOA) to increase operation’s efficiency and flexibility. To accomplish these goals, it is necessary to ensure that the architecture and its evolution are compliant with business goals, best practices, legal and regulatory requirements. However, the diversity of domains and stakeholders involved in SOA solutions demands complex and expensive work to validate the architecture compliance. Hence, it can result in high costs and low quality assessment if the organization does not use an effective approach in this scenario. In addition, it would be important to consider standards and open solutions in order to promote interoperability and reuse of available tools, making it easier to spread throughout the organizations. We propose intelliGov, an architecture that aims to solve these problems by using ontologies, semantic rules and queries in order to simplify the compliance validation process. The architecture employs open standards-OWL, SWRL and SQWRL-in its implementation. A case study, executed in a global energy company that is currently adopting SOA, demonstrates gains in quality and costs of the compliance assessment process using the proposed architecture. © J.UCS.",Article,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994593688&partnerID=40&md5=5f8f38522e7c65e70b800d18f66a8a00,,Governance; Ontology; Semantic queries; Semantic rules; Service-Oriented Architecture (SOA),,,,,Cited by: 0,Studies that do not address Architectural Conformance Checking as a central topic.,Rejected,UNCLASSIFIED,,,UNCLASSIFIED,,,2,,
Making the case for centralized software architecture management,"Buchgeher, Georg and Weinreich, Rainer and Kriechbaum, Thomas",Lecture Notes in Business Information Processing,2016,Scopus,109 - 121,238,"Architectural knowledge is an important artifact for many software development and quality control activities. Examples for quality control activities based on architectural information are architecture reviews, dependency analyses, and conformance analyses. Architecture is also an important artifact for understanding, reuse, evolution, and maintenance. Unfortunately, in many projects architectural knowledge often remains implicit and is not available for a particular system stakeholder or outdated when it is actually needed. To address this problem, we propose to manage semi-formal software architecture knowledge in a central repository, where it is accessible to all stakeholders and where it can be automatically and continuously updated and analyzed by different tools. In this paper we discuss important elements and use cases of such an approach, and present an example for an architecture knowledge and information repository in the context of an enterprise service-oriented architecture (SOA). © Springer International Publishing Switzerland 2016.",Conference paper,10.1007/978-3-319-27033-3_8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84952684861&doi=10.1007%2F978-3-319-27033-3_8&partnerID=40&md5=a4af8833cd4d31ab4b96504f136faa9c,,Software architecture as a service; Software architecture information repositories; Software architecture knowledge management; Software architecture management; Software architecture models; Software architecture use cases; Software architecture views,Computer software selection and evaluation; Distributed computer systems; Information management; Information services; Knowledge management; Quality control; Software architecture; Software design; Software engineering; Architectural knowledge; Architecture management; Architecture review; Dependency analysis; Enterprise services; Information repositories; Software architecture knowledge managements; Software architecture model; Service oriented architecture (SOA),,,,Cited by: 5,Studies that do not address Architectural Conformance Checking as a central topic.,Rejected,UNCLASSIFIED,,,UNCLASSIFIED,,,2,,
A formal and visual modeling approach to choreography based web services composition and conformance verification,"Yeung, Wing Lok",Expert Systems with Applications,2011,Scopus,12772 - 12785,38,"Web services have emerged as the building blocks of a service-oriented architecture that supports not only enterprise application integration (EAI) and business process management (BPM) within an organization but also B2B collaboration based on business process integration. The web services choreography approach to B2B process integration allows business partners to orchestrate their own web services privately, while conforming with an agreed specification of the common ordering conditions and constraints under which messages are exchanged among partners' web services. In this approach, choreography conformance is an essential requirement for the successful implementation of collaborative processes. A formal approach to web services composition and conformance verification based on WS-CDL and WS-BPEL is presented. This approach involves model checking as an automated means of verifying choreography conformance. The main contributions include a precise notion of choreography conformance on which verification is based as well as support for the complementary use of visual modeling (e.g. UML) and standard WS-* notations in composition. © 2010 Elsevier Ltd. All rights reserved.",Article,10.1016/j.eswa.2011.04.068,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79957995532&doi=10.1016%2Fj.eswa.2011.04.068&partnerID=40&md5=afe862255cad1bfca3badf60847427cb,,Choreography; Conformance verification; Contract negotiation; Model checking; Orchestration; Web services,B2B collaboration; Building blockes; Business partners; Business process integration; Business process management; Choreography; Collaborative process; Conformance verification; Contract negotiation; Enterprise application integration; Formal approach; Orchestration; Process integration; Service Oriented; Visual modeling; Web services composition; WS-BPEL; Enterprise resource management; Information services; Integration; Model checking; Service oriented architecture (SOA); User interfaces; Web ,,,,Cited by: 24,Studies that do not address Architectural Conformance Checking as a central topic.,Rejected,UNCLASSIFIED,,,UNCLASSIFIED,,,2,,
Correct-By-Construction Microservices with Model-Driven Engineering,"Rademacher, Florian",OpenAccess Series in Informatics,2023,Scopus,,111,"Patterns are a common metaphor in software engineering that denotes reusable solutions for recurring software engineering problems. Architectural patterns focus on the interplay or organization of two or more components of a software system, and are particularly helpful in the design of complex software architectures such as those produced by Microservice Architecture (MSA). This paper presents an approach for the language-based reification of architectural MSA patterns. To this end, we introduce a method to flexibly retrofit LEMMA (Language Ecosystem for Modeling Microservices) with support for modeling and implementing architectural MSA patterns. The method relies on the (i) specification of aspects to reify pattern applications in MSA models; (ii) validation of pattern applications; and (iii) code generation from correct pattern applications. Consequently, it contributes to correct-by-construction microservices by abstracting from the complexity of pattern implementations, yet still enabling their automated production with Model-Driven Engineering. We validate our method with the popular Domain Event and Command Query Responsibility Segregation patterns, and assess its applicability for 28 additional patterns. Our results show that LEMMA’s expressivity covers the model-based expression of complex architectural MSA patterns and that its model processing facilities support pattern-specific extensions such that conformance checking and pattern-conform code generation can be modularized into reusable model processors. © 2023 Schloss Dagstuhl- Leibniz-Zentrum fur Informatik GmbH, Dagstuhl Publishing. All rights reserved.",Conference paper,10.4230/OASIcs.Microservices.2020-2022.8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181985621&doi=10.4230%2FOASIcs.Microservices.2020-2022.8&partnerID=40&md5=64696f33c95f674399485b0285aff4f8,,Architectural Pattern Conformance Checking; Architectural Patterns; Code Generation; Microservice Architecture; Model Validation; Model-Driven Engineering; Static Model Analysis,Model checking; Modeling languages; Query processing; Software architecture; Architectural pattern; Architectural pattern conformance checking; Codegeneration; Conformance checking; Microservice architecture; Model validation; Model-driven Engineering; Modeling analyzes; Static model analyse; Static modelling; Computer software reusability,,,,Cited by: 0,Studies that do not address Architectural Conformance Checking as a central topic.,Rejected,UNCLASSIFIED,,,UNCLASSIFIED,,,2,,
Leveraging Petri Nets for Workflow Anomaly Detection in Microservice Architectures,"Kamboj, Priyanka and Artho, Cyrille Valentin and Guanciale, Roberto and Jabbarvand, Reyhaneh and Godfrey, Philip Brighten",Lecture Notes in Computer Science,2025,Scopus,219 - 241,15714 LNCS,"Modern microservice architectures pose challenges in understanding and managing the complex workflows within these decentralized services. In particular, it is difficult to identify anomalous behavior that could indicate a bug or attack. We use traces of microservice application activity (requests and responses) to infer a model of the application’s normal behavior. Our approach mines Petri nets to formally represent concurrent operations and their temporal dependencies with a targeted delay injection approach that accurately and efficiently learns these dependencies. The models produced are both explainable and easy to inspect, which offers more transparency and control. Our evaluation shows that injecting delays during model training allows us to achieve perfect model and log fitness (Move-Model and Move-Log fitness of 1) with just 29 traces. In contrast, a straightforward approach requires over 10,000 traces to achieve similar accuracy. Our models successfully identify anomalies in various experiments, such as traces with one missing or multiple missing activities, and reordered sequences to simulate issues in real-world scenarios. Our approach outperforms the state-of-the-art method, demonstrating higher accuracy. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2025.",Conference paper,10.1007/978-3-031-94634-9_11,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008762714&doi=10.1007%2F978-3-031-94634-9_11&partnerID=40&md5=7ce18bf00b36b36d0623423caff5fdb1,,Alignments; Conformance Checking; Cost function; Delay; Microservices; Process discovery; Process mining,Alignment; Anomaly detection; Architecture; Data mining; Distributed computer systems; Human computer interaction; Information use; Complex workflows; Conformance checking; Cost-function; Decentralised; Delay; Microservice; Process Discovery; Process mining; Work-flows; Petri nets,,,,Cited by: 0,Studies that do not address Architectural Conformance Checking as a central topic.,Rejected,UNCLASSIFIED,,,UNCLASSIFIED,,,2,,
Distributed Estimation of Power System Oscillation Modes Under Attacks on GPS Clocks,"Wang, Yongqiang and Hespanha, João P.",IEEE Transactions on Instrumentation and Measurement,2018,IEEE Digital Library,1626-1637,67,"Phasor measurement units (PMUs) are playing an increasingly important role in wide-area monitoring and the control of power systems. PMUs allow synchronous real-time measurements of voltage, phase angle, and frequency from multiple remote locations in the grid, enabled by their ability to align to global positioning system (GPS) clocks. Given that this ability is vulnerable to GPS spoofing attacks, which have been confirmed easy to launch, in this paper, we propose a distributed real-time wide-area oscillation estimation approach that is robust to GPS spoofing on PMUs and their associated phasor data concentrators. The approach employs the idea of checking update consistency with histories and across distributed nodes and can tolerate up to one third of compromised nodes. It can be implemented in a completely decentralized architecture and in a completely asynchronous way. The effectiveness of the approach is confirmed by numerical simulations of the IEEE 68-bus power system models.",,10.1109/TIM.2018.2801018,,,,Global Positioning System;Phasor measurement units;Oscillators;Estimation;Power systems;Computer architecture;Mathematical model;Cyber attacks;distributed optimization;global position system (GPS) spoofing;synchrophasors;wide-area monitoring,,1557-9662,,,Studies that do not address Architectural Conformance Checking as a central topic.,Rejected,UNCLASSIFIED,,,UNCLASSIFIED,,,2,,
Mining and checking web services behavior,"Wan, Xiaomin and Mao, Xiaoguang and Dai, Ziying",,2012,IEEE Digital Library,1004-1009,,"As an emerging paradigm for architecting, service-oriented computing plays a more and more important role in information technology. To ensure that web services are working according with the expectation, the research in service behavior about interactions between services is crucial to guarantee no deviation from specification. To detect these deviations, we propose a method to mine and check web service behavior. The method attempts to apply process mining to interactions between services in order to narrow the gap between service consumers and providers. By observing executions of services, we present three levels of abstraction on service behavior: internal behavior, external behavior and workflow behavior. Then we outline the approach to extract behavioral model that provides specification to the activity of service checking. Finally the framework of service behavior checking is presented.",,10.1109/INDIN.2012.6301239,,,,Data mining;Customer services;Simple object access protocol;Automata;Computational modeling;web service mining;conformance checking;web services;behavioral model,,2378-363X,,,,Unclassified,REJECTED,EC1,Study does not address Architectural Conformance Checking as a central topic.,REJECTED,EC1,The study does not address Architectural Conformance Checking as a central topic.,2,,
Runtime Monitoring of Web Service Conversations,"Simmonds, Jocelyn and Gan, Yuan and Chechik, Marsha and Nejati, Shiva and O'Farrell, Bill and Litani, Elena and Waterhouse, Julie",IEEE Transactions on Services Computing,2009,IEEE Digital Library,223-244,2,"For a system of distributed processes, correctness can be ensured by (statically) checking whether their composition satisfies properties of interest. However, Web services are distributed processes that dynamically discover properties of other Web services. Since the overall system may not be available statically and since each business process is supposed to be relatively simple, we propose to use runtime monitoring of conversations between partners as a means of checking behavioral correctness of the entire Web service system. Specifically, we identify a subset of UML 2.0 Sequence Diagrams as a property specification language and show that it is sufficiently expressive for capturing safety and liveness properties. By transforming these diagrams to automata, we enable conformance checking of finite execution traces against the specification. We show how our language can be used to specify the Specification Property System (SPS) [1]. We describe an implementation of our approach as part of an industrial system. Finally, we discuss our experience of specifying and monitoring a number of properties from three existing applications.",,10.1109/TSC.2009.16,,,,Monitoring;Web services;Automata;Runtime;Unified modeling language;Data mining;Probability density function;Nondeterministic finite automata;runtime monitoring;sequence diagrams;temporal logic patterns;Web service conversations.,,1939-1374,,,,Unclassified,REJECTED,EC1,Study does not address Architectural Conformance Checking as a central topic.,REJECTED,EC1,The study does not address Architectural Conformance Checking as a central topic.,2,,
