title,author,journal,year,source,pages,volume,abstract,document_type,doi,url,affiliation,author_keywords,keywords,publisher,issn,language,note,status,selection_criteria
Conformance Assessment of Architectural Design Decisions on the Mapping of Domain Model Elements to APIs and API Endpoints,"Singjai, Apitchaka and Zdun, Uwe",,2022,Scopus,76 - 83,,"Microservice APIs are often identified and designed based on Domain-Driven Design (DDD). To help in the continuous analysis of mappings of domain model elements to APIs and API endpoints, we aim to automate the assessment of conformance to Architectural Design Decision (ADD) options. The ADDs, their decision options, and relevant decision drivers studied in this paper originate from an empirical study on the mapping of domain model elements to APIs and API endpoints in practice. We propose automated detectors to detect the decision options of the ADDs taken in a given microservice API model, and an assessment scoring scheme based on the empirical knowledge codified in the ADDs. We evaluate our work, by first manually creating a ground truth for 14 cases in a multi-case study, and then comparing the results of our automated detectors to the ground truth for each of the 14 cases. In the cases we were able to identify 86% of the decision points correctly, and a statistical analysis of our data shows only a negligible effect size for differences to the ground truth. © 2022 IEEE.",Conference paper,10.1109/ICSA-C54293.2022.00058,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132156777&doi=10.1109%2FICSA-C54293.2022.00058&partnerID=40&md5=3e2aa421b5fd4b24cafd09c2a033ac48,,API Design; Architectural Design Decision; Conformance Assessment; DDD; Microservice Architecture,Architectural design; Software architecture; API design; Architectural design decisions; Automated detectors; Conformance assessment; Continuous analysis; Domain model; Domain-driven designs; Ground truth; Microservice architecture; Model elements; Mapping,,,,Cited by: 1,Accepted,"Studies addressing ACC in microservice-based systems, including cloud-native and event-driven distributed architectures explicitly aligned with the microservices paradigm."
Constructing a service process model based on distributed tracing for conformance checking of microservices,"Sakai, Masaru and Takahashi, Kensuke",,2022,Scopus,,,"In recent years, microservices architectures have become widespread, where services are divided into smaller pieces, communicate with each other, and operate in chains. Distributed tracing, which tracks the processing of user requests, is used to analyze and visualize microservices. In this paper, the trace data obtained from the distributed tracing is divided based on the parent-child relationship and converted into an event log. In addition, process discovery is performed on each of the split event logs to estimate the relationships between microservice processes. Then, generate a normal Petri net model that can reproduce each event log. Finally, the test trace data is used to verify the suitability of the Petri net model. We constructed a service model for two sample microservices with different scales and distributed tracing implementations and demonstrated the proposed method's feasibility through conformance checking using test trace data. © 2022 IEEE.",Conference paper,10.1109/NOMS54207.2022.9789804,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133197228&doi=10.1109%2FNOMS54207.2022.9789804&partnerID=40&md5=6bb94303cc22ddc54037170a9b0245fd,,Conformance Checking; Distributed Tracing; Petri nets; Process Mining; Process Model,Conformance checking; Distributed tracing; Event logs; Model-based OPC; Petri net models; Process Discovery; Process mining; Process-models; Service process; Trace data; Petri nets,,,,Cited by: 3,Rejected,Studies that do not address Architectural Conformance Checking as a central topic.
Assessing Architecture Conformance to Security-Related Practices in Infrastructure as Code Based Deployments,"Ntentos, Evangelos and Zdun, Uwe and Falazi, Ghareeb and Breitenbücher, Uwe and Leymann, Frank",,2022,Scopus,123 - 133,,"Infrastructure as Code (IaC) enables developers and operations teams to automatically deploy and manage an IT infrastructure via software. Among other uses, IaC is widely used in the context of continuously released deployments such as those of microservice and other cloud-based systems. Although IaC-based deployments have been utilized by many companies, there are no approaches on checking their conformance to architectural aspects yet. In this paper, we focus on security-related practices including observability, access control, and traffic control in IaC-based deployments. While best practices for this topic have been documented in some gray literature sources such as practitioners' blogs and public repositories, approaches enabling automated checking of conformance to such best practices do not yet exist. We propose a model-based approach based on generic, technology-independent metrics, tied to typical architectural design decisions on IaC-based deployments. With this approach, we can measure conformance to security-related practices. We demonstrate and assess the validity and appropriateness of these metrics in assessing a system's conformance to practices through regression analysis. © 2022 IEEE.",Conference paper,10.1109/SCC55611.2022.00029,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138037280&doi=10.1109%2FSCC55611.2022.00029&partnerID=40&md5=8426e3bbce08ccc97b9609781c1c9c9c,,best practices; Infrastructure as code; metrics; modeling; software architecture,Regression analysis; Software architecture; Traffic control; Best practices; Cloud-based; Generic technology; Grey literature; Infrastructure as code; IT infrastructures; Metric; Model based approach; Modeling; Public repositories; Access control,,,,Cited by: 2,Accepted,"Studies addressing ACC in microservice-based systems, including cloud-native and event-driven distributed architectures explicitly aligned with the microservices paradigm."
Assessing Architecture Conformance to Coupling-Related Infrastructure-as-Code Best Practices: Metrics and Case Studies,"Ntentos, Evangelos and Zdun, Uwe and Soldani, Jacopo and Brogi, A.",Lecture Notes in Computer Science,2022,Scopus,101 - 116,13444 LNCS,"Infrastructure as Code (IaC) is an IT practice that facilitates the management of the underlying infrastructure as software. It enables developers or operations teams to automatically manage, monitor, and provision resources rather than organize them manually. In many industries, this practice is widespread and has already been fully adopted. However, few studies provide techniques for evaluating architectural conformance in IaC deployments and, in particular, aspects such as loose coupling. This paper focuses on coupling-related patterns and practices such as deployment strategies and the structuring of IaC elements. Many best practices are documented in gray literature sources, such as practitioner books, blogs, and public repositories. Still, there are no approaches yet to automatically check conformance with such best practices. We propose an approach based on generic, technology-independent metrics tied to typical architectural design decisions for IaC-based practices in microservice deployments to support architecting in the context of continuous delivery practices. We present three case studies based on open-source microservice architectures to validate our approach. © 2022, The Author(s), under exclusive license to Springer Nature Switzerland AG.",Conference paper,10.1007/978-3-031-16697-6_7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139055698&doi=10.1007%2F978-3-031-16697-6_7&partnerID=40&md5=92a48b524ba0d45d201490a08b8edce9,,architecture conformance; IaC best practices; Infrastructure as Code; metrics; software architecture,Software architecture; Architecture conformance; Best practices; Case-studies; Code deployment; Deployment strategy; Grey literature; Infrastructure as code; Infrastructure as code best practice; Loose couplings; Metric; Open source software,,,,Cited by: 3,Accepted,"Studies addressing ACC in microservice-based systems, including cloud-native and event-driven distributed architectures explicitly aligned with the microservices paradigm."
API Description-Based Conformance Assessment of Architectural Design Decision,"Singjai, Apitchaka and Zdun, Uwe",,2022,Scopus,59 - 68,,"Microservice APIs are often designed based on Domain-Driven Design. It can be challenging to judge the quality of the relation between such a design and the implemented API, especially when facing frequent releases and changes in an API and its design models. Manual conformance assessment of this relation is time-intensive and error prone. This paper proposes a novel approach for automated conformance assessment of API designs in relation to API design decisions. Our approach aims to provide the first fully automated conformance assessment approach based solely on the code of API Descriptions such as OpenAPI. We applied and exemplified our approach for checking conformance to the patterns and practices in an API design decision for mapping links in a system's domain model to API representations. The total accuracy score (F1-measure) for decision option identification in our multi-case study for this decision is 97.22%. © 2022 IEEE.",Conference paper,10.1109/SOSE55356.2022.00013,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141357694&doi=10.1109%2FSOSE55356.2022.00013&partnerID=40&md5=2ad201d4c891488ae0242aec28663d21,,ADD; API Design; Architecture Conformance Assessment; DDD; Microservice Architecture,ADD; API design; Architectural design decisions; Architecture conformance assessment; Conformance assessment; DDD; Design decisions; Design models; Domain-driven designs; Microservice architecture; Application programming interfaces (API),,,,Cited by: 2,Accepted,"Studies addressing ACC in microservice-based systems, including cloud-native and event-driven distributed architectures explicitly aligned with the microservices paradigm."
Conformance assessment of Architectural Design Decisions on API endpoint designs derived from domain models,"Singjai, Apitchaka and Zdun, Uwe",Journal of Systems and Software,2022,Scopus,,193,"Context: Domain-driven design (DDD) is commonly used to design microservices. A crucial aspect of microservice design is API design, which includes the design of API endpoints. Objective: Our objective is to automate the assessment of conformance to Architectural Design Decisions (ADDs) on the interrelation of DDD and APIs. In particular, we studied link mapping, API operation design, and resource segregation as API endpoint design issues that are linked to domain model design. We particularly aim to address conformance checking in the context of frequent release practices, as frequent manual conformance checking is difficult or infeasible. Methods: We suggest a new approach for the automated assessment of conformance to ADD options. The approach suggests automated detectors to detect ADD options selected in a given API endpoint design, as well as an assessment scoring scheme based on empirical results. For the evaluation of our approach, we first manually created a ground truth for 12 cases in a multi-case study, and then compared the results of our automated detectors to the ground truth for each of those cases. Results: With our approach, all ADD options in our multi-case study possibly can be automatically detected. Without further improvements, our approach identifies 83% of the decision points in the multi-case study correctly. A statistical analysis of our data shows only a negligible effect size for differences to the ground truth. Conclusion: Our new approach provides a pragmatic method for automated detection of conformance to ADDs on the interrelation of DDD and APIs. The approach can support the continuous analysis of API endpoint designs. © 2022 The Authors",Article,10.1016/j.jss.2022.111433,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135305434&doi=10.1016%2Fj.jss.2022.111433&partnerID=40&md5=32dd3c4553ebddce3f7b2a8dc625d20d,,API design; Architecture conformance assessment; Domain driven design; Microservice architecture,Application programming interfaces (API); Architectural design; API design; Architectural design decisions; Architecture conformance assessment; Case-studies; Conformance assessment; Conformance checking; Domain model; Domain-driven designs; Ground truth; Microservice architecture; Automation,,,,Cited by: 5; All Open Access; Hybrid Gold Open Access,Accepted,"Studies addressing ACC in microservice-based systems, including cloud-native and event-driven distributed architectures explicitly aligned with the microservices paradigm."
Extracting the Architecture of Microservices: An Approach for Explainability and Traceability,"Queval, Pierre Jean and Zdun, Uwe",Lecture Notes in Computer Science,2023,Scopus,346 - 353,14212 LNCS,"The polyglot nature of microservice architectures and the need for high reliability in security analyses pose unique challenges that existing approaches to automatic architecture recovery often fail to address. This article proposes an approach for extracting detailed architecture models from polyglot microservice source code focusing on explainability and traceability. The approach involves abstracting code navigation as a tree structure, using an exploratory algorithm to detect architectural aspects, and providing a set of generic detectors as input. The architecture models are automatically annotated with detailed information that makes them useful for architecture conformance checking and violation fixing. Our case studies of microservice software systems validate the usefulness of our approach, providing insights into its completeness, accuracy, and effectiveness for software architecture tasks. © 2023, The Author(s), under exclusive license to Springer Nature Switzerland AG.",Conference paper,10.1007/978-3-031-42592-9_24,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172069966&doi=10.1007%2F978-3-031-42592-9_24&partnerID=40&md5=0a4509fefe26e4240984deaa4b0a70d1,,Architecture; Explainability; Microservices; Polyglot,Air navigation; Codes (symbols); Software architecture; Architecture modeling; Architecture recovery; Code navigation; Explainability; High reliability; Microservice; Polyglot; Security analysis; Source codes; Tree structures; Trees (mathematics),,,,Cited by: 6,Accepted,"Studies that propose, analyze, or evaluate methods, techniques, approaches, tools, or frameworks for ACC."
Detecting and Resolving Coupling-Related Infrastructure as Code Based Architecture Smells in Microservice Deployments,"Ntentos, Evangelos and Zdun, Uwe and Falazi, Ghareeb and Breitenbücher, Uwe and Leymann, Frank","IEEE International Conference on Cloud Computing, CLOUD",2023,Scopus,201 - 211,2023-July,"The Infrastructure as Code (IaC) concept enables IT infrastructure to be managed as software: resources can be managed, monitored, and provisioned automatically instead of manually by developers or operations teams. Many industries have already embraced this concept widely. However, research on IaC-based deployments, particularly research focusing on loose coupling, often does not offer methods for evaluating architectural conformance, spotting architecture smells, and support for correcting the found smells. Our work strives to provide an automatic method for continuously developing microservice-based systems and the associated infrastructure. We aim to offer an automated architectural refactoring method that checks if IaCbased deployments adhere to patterns and best practices and do not contain potential architectural smells. We provide architects with viable options for enhancing architectural conformance during microservice development. In short, by continuously detecting architectural smells and suggesting possible fixes, we aim to support architecture evolution within the framework of continuous delivery practices. We evaluate our approach using three case studies and variants based on open-source microservice architectures. © 2023 IEEE.",Conference paper,10.1109/CLOUD60044.2023.00031,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174302755&doi=10.1109%2FCLOUD60044.2023.00031&partnerID=40&md5=c14bcce16ca5f1ab642cef5a88458038,,architecture smells; best practices; Infrastructure as code; metrics; modeling,Codes (symbols); Open source software; Architecture smell; Automatic method; Best practices; Infrastructure as code; IT infrastructures; Loose couplings; Metric; Modeling; Refactoring methods; Software resources; Odors,,,,Cited by: 2,Accepted,"Studies addressing ACC in microservice-based systems, including cloud-native and event-driven distributed architectures explicitly aligned with the microservices paradigm."
Exploring Architectural Evolution in Microservice Systems Using Repository Mining Techniques and Static Code Analysis,"Genfer, Patric and Zdun, Uwe",Lecture Notes in Computer Science,2024,Scopus,157 - 173,14889 LNCS,"Microservices have gained popularity for isolating service functionality and mitigating issues such as architectural erosion and technical debt. However, their decentralized nature and rapid development often obscure the holistic view of the system and lead developers to lose sight of the overarching architecture. Our work addresses this challenge by proposing a novel approach to track and assess the evolution of microservice architectures through static source code analysis. We combine source code repository mining techniques with architectural reconstruction to measure various metrics throughout a system’s development history. Our approach uses a formal API-based decomposition model that can easily be adapted for different scenarios by choosing various architectural metrics. We validated our method’s scalability and robustness through a case study on an extensive open-source microservice reference system with more than 40 individual services written in different languages and more than 400 commits. Our research provides software architects with a powerful tool to identify and monitor problematic architectural trends before they become imminent threats, enabling the evolution of microservice-based systems while maintaining architectural coherence and integrity. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2024.",Conference paper,10.1007/978-3-031-70797-1_10,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203600424&doi=10.1007%2F978-3-031-70797-1_10&partnerID=40&md5=7a0d70dcf9868757ca1f21ec1cf1b792,,evolution; metrics; Microservice API; source code detectors; source code repository mining,Problem oriented languages; Program debugging; Architectural evolution; Evolution; Metric; Microservice API; Mining techniques; Repository mining; Source code detector; Source code repositories; Source code repository mining; Source codes; Open source software,,,,Cited by: 4,Accepted,"Studies that propose, analyze, or evaluate methods, techniques, approaches, tools, or frameworks for ACC."
DOMICO: Checking conformance between domain models and implementations,"Zhong, Chenxing and Zhang, He and Huang, Huang and Chen, Zhikun and Li, Chao and Liu, Xiaodong and Li, Shanshan",Software - Practice and Experience,2024,Scopus,595 - 616,54,"As a predominant design method for microsservices architecture (MSA), domain-driven design (DDD) utilizes a series of standard patterns in both models and implementations to effectively support the design of architectural elements. However, an implementation may deviate from its original domain model that uses certain patterns. The deviation between a domain model and its implementation is a type of architectural drift, which needs to be detected promptly. This paper proposes an approach, namely DOMICO, to check the conformance between the domain model and its implementation, by which the conformance is formalized by defining eight common structural patterns of domain modeling and their representations in both models and the corresponding source code. Based on the formalization, our approach can not only identify the discrepancies (e.g., divergence, absence, and modification) with respect to pattern elements, but also detect possible violations of 24 compliance rules imposed by the patterns. To validate DOMICO, we performed a case study to investigate its use in a supply chain project and its performance. The results show that DOMICO can accurately identify 100% inconsistency issues in the cases examined. As the first conformance checking approach for DDD, DOMICO can be integrated into the regular domain modeling process and help ensure the conformity of microservice implementations to models. © 2023 John Wiley & Sons, Ltd.",Article,10.1002/spe.3272,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174190323&doi=10.1002%2Fspe.3272&partnerID=40&md5=77117fcaf4d7e21b10d8ffbc4c176c19,,architectural drift; architecture conformance checking; code implementation; domain model; domain-driven design; microservices architecture,Architectural design; Codes (symbols); Architectural drift; Architectural element; Architecture conformance checking; Code implementation; Conformance checking; Design method; Domain model; Domain-driven designs; Microservice architecture; Standard pattern; Supply chains,,,,Cited by: 5; All Open Access; Bronze Open Access,Accepted,Studies that explicitly investigate Architectural Conformance Checking (ACC) in software systems.
Detection Strategies for Microservice Security Tactics,"Zdun, Uwe and Queval, Pierre Jean and Simhandl, Georg and Scandariato, Riccardo and Chakravarty, Somik and Jelić, Marjan and Jovanović, A. S.",IEEE Transactions on Dependable and Secure Computing,2024,Scopus,1257 - 1273,21,"Microservice architectures are widely used today to implement distributed systems. Securing microservice architectures is challenging because of their polyglot nature, continuous evolution, and various security concerns relevant to such architectures. This article proposes a novel, model-based approach providing detection strategies to address the automated detection of security tactics (or patterns and best practices) in a given microservice architecture decomposition model. Our novel detection strategies are metrics-based rules that decide conformance to a security recommendation based on a statistical predictor. The proposed approach models this recommendation using Architectural Design Decisions (ADDs). We apply our approach for four different security-related ADDs on access management, traffic control, and avoiding plaintext sensitive data in the context of microservice systems. We then apply our approach to a model data set of 10 open-source microservice systems and 20 variants of those systems. Our results are detection strategies showing a very low bias, a very high correlation, and a low prediction error in our model data set. © 2004-2012 IEEE.",Article,10.1109/TDSC.2023.3276487,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160216527&doi=10.1109%2FTDSC.2023.3276487&partnerID=40&md5=9c14d9de24c27f20d68ba619a574a65d,,Conformance checking; detection strategies; metrics; microservice architecture security; microservices,Authorization; Information management; Network security; Open systems; Sensitive data; Architectural design decisions; Code; Conformance checking; Detection strategy; Metric; Microservice; Microservice architecture; Microservice architecture security; Modeling data; Security; Computer architecture,,,,Cited by: 3; All Open Access; Hybrid Gold Open Access,Accepted,"Studies addressing ACC in microservice-based systems, including cloud-native and event-driven distributed architectures explicitly aligned with the microservices paradigm."
CATMA: Conformance Analysis Tool for Microservice Applications,"Cao, Clinton and Schneider, Simon and Díaz Ferreyra, Nicolás E. and Verwer, Sicco E. and Panichella, Annibale and Scandariato, Riccardo",Proceedings - International Conference on Software Engineering,2024,Scopus,59 - 63,,"The microservice architecture allows developers to divide the core functionality of their software system into multiple smaller services. However, this architectural style also makes it harder for them to debug and assess whether the system's deployment conforms to its implementation. We present CATMA, an automated tool that detects non-conformances between the system's deployment and implementation. It automatically visualizes and generates potential interpretations for the detected discrepancies. Our evaluation of CATMA shows promising results in terms of performance and providing useful insights. CATMA is available at https://cyberanalytics. nl/catma.github.io/, and a demonstration video is available at https://youtu.be/WKP1hG-TDKc. © 2024 IEEE Computer Society. All rights reserved.",Conference paper,10.1145/3639478.3640022,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188258629&doi=10.1145%2F3639478.3640022&partnerID=40&md5=1f4f18ceba149d26d74bb010a0657fb2,,dynamic analysis; empirical software engineering; microservices; software testing; static analysis,Application programs; HTTP; Program debugging; Static analysis; Analysis tools; Architectural style; Automated tools; Core functionality; Dynamics analysis; Empirical Software Engineering; Microservice; Software testings; Software-systems; System deployment; Software testing,,,,Cited by: 4; All Open Access; Gold Open Access; Green Open Access,Accepted,"Studies addressing ACC in microservice-based systems, including cloud-native and event-driven distributed architectures explicitly aligned with the microservices paradigm."
"Increased reliability in SOA environments through registry-based
conformance testing of Web services","Kourtesis, D. and Ramollari, E. and Dranidis, D. and Paraskakis, I.",PRODUCTION PLANNING \& CONTROL,2010,ISI Web of Science,130-144,21,"Organisations wishing to engage in industrial collaborative networks
will typically seek some guarantees concerning the reliability of their
prospective partners before committing to cooperation. Evaluating
reliability can encompass several aspects, but one of the most crucial
things to consider from a cooperation perspective is whether the
software systems that support the business processes of some
collaborator actually behave as expected. For organisations that rely on
a service-oriented computing infrastructure, this amounts to checking
whether the functionality of the respective services is conformant to a
given behavioural specification. Today's state of the art lacks
standardised methods for creating behavioural specifications of Web
services, and also lacks tools for automating the process of behavioural
conformance checking through testing. This paper presents a concrete
method for creating formal specifications of Web service behaviour and
utilising them within service registries for automated testing of
service implementations in order to verify and certify their
conformance.",Article,10.1080/09537280903441922,,"Kourtesis, D (Corresponding Author), Univ Sheffield, Res Ctr, SEERC, 24 Proxenou Koromila Str, Thessaloniki 54622, Greece.
Kourtesis, D.; Ramollari, E.; Dranidis, D.; Paraskakis, I., Univ Sheffield, Res Ctr, SEERC, Thessaloniki 54622, Greece.
Kourtesis, D.; Ramollari, E.; Dranidis, D.; Paraskakis, I., CITY Coll, Thessaloniki 54622, Greece.
Dranidis, D., Univ Sheffield, Int Fac, Dept Comp Sci, CITY Coll, Thessaloniki 54626, Greece.",,Web services; registry; behavioural conformance; testing,TAYLOR \& FRANCIS LTD,0953-7287,English,,Rejected,Studies that do not address Architectural Conformance Checking as a central topic.
A runtime monitoring and validation framework for Web service interactions,"Li, Z. and Jin, Y. and Han, J.",,2006,IEEE Digital Library,10 pp.-79,,"Web services are designed for composition and use by third parties through dynamic discovery. As such, the issue of interoperability between services is of great importance to ensure that the services can work together towards the overall application goals. In particular, the interaction protocols of a service need to be implemented and used properly so that the service composition can conduct itself in an orderly fashion. In our previous work, we have proposed a lightweight, pattern/constraint-based approach to specifying service interaction protocols. It has been incorporated into OWL-S for service developers to describe service interaction constraints. In this paper, we present a framework for monitoring the run-time interaction behaviour of Web services and validating the behaviour against their pre-defined interaction constraints. The framework involves interception of service interactions/messages, representation of interaction constraints using finite state automata, and conformance checking of service interactions against interaction constraints. As such, the framework provides a useful tool for validating the implementation and use of services regarding their interaction behaviour",,10.1109/ASWEC.2006.6,,,,Runtime;Monitoring;Web services;Protocols;Australia;Automata;Contracts;Service oriented architecture;Bridges;Software engineering,,2377-5408,,,Rejected,Studies that do not address Architectural Conformance Checking as a central topic.
Mining and checking web services behavior,"Wan, Xiaomin and Mao, Xiaoguang and Dai, Ziying",,2012,IEEE Digital Library,1004-1009,,"As an emerging paradigm for architecting, service-oriented computing plays a more and more important role in information technology. To ensure that web services are working according with the expectation, the research in service behavior about interactions between services is crucial to guarantee no deviation from specification. To detect these deviations, we propose a method to mine and check web service behavior. The method attempts to apply process mining to interactions between services in order to narrow the gap between service consumers and providers. By observing executions of services, we present three levels of abstraction on service behavior: internal behavior, external behavior and workflow behavior. Then we outline the approach to extract behavioral model that provides specification to the activity of service checking. Finally the framework of service behavior checking is presented.",,10.1109/INDIN.2012.6301239,,,,Data mining;Customer services;Simple object access protocol;Automata;Computational modeling;web service mining;conformance checking;web services;behavioral model,,2378-363X,,,Rejected,Studies that do not address Architectural Conformance Checking as a central topic.
