title,author,journal,year,source,pages,volume,abstract,document_type,doi,url,affiliation,author_keywords,keywords,publisher,issn,language,note,status,selection_criteria
Continuous Conformance of Software Architectures,"Bucaioni, Alessio and Di Salle, Amleto and Iovino, Ludovico and Mariani, Leonardo and Pelliccione, Patrizio",,2024,IEEE Digital Library,112-122,,"Software architectures are pivotal in the success of software-intensive systems and serve as foundational elements that significantly impact the overall software quality. Reference architectures abstract software elements, define main responsibilities and interactions within a domain, and guide the architectural design of new systems. Using reference architectures offers advantages like enhanced interoperability, cost reduction through reusability, decreased project risks, improved communication, and adherence to best practices. However, these benefits are most pronounced when software architectures align with reference architectures. Deviations from prescribed reference architectures can nullify these benefits. Uncontrolled misalignment can become prohibitively expensive, necessitating costly redevelopments, with maintenance costs reaching up to 90% of development costs. Conformance-checking processes and identifying and resolving violations in the software architecture are essential to mitigate misalignment. To address these challenges, we introduce the concept of continuous conformance that is expressed as a distance function, together with a process supporting it. Continuous conformance quantifies the degree to which a software architecture adheres to a designated reference architecture. The conformance concept enables multi-level, incremental, and non-blocking checking and restoration tasks and allows the check of partial architectures without obstructing the design process. We operationalize this process through an assistive modeling tool to architect an Internet of things-based system.",,10.1109/ICSA59870.2024.00019,,,,Costs;Software architecture;Computer architecture;Software quality;Maintenance;Internet;Task analysis;Reference architecture;conformance;modeling assistant,,2835-7043,,,Accepted,"Studies that propose, analyze, or evaluate methods, techniques, approaches, tools, or frameworks for ACC."
Runtime Monitoring of Web Service Conversations,"Simmonds, Jocelyn and Gan, Yuan and Chechik, Marsha and Nejati, Shiva and O'Farrell, Bill and Litani, Elena and Waterhouse, Julie",IEEE Transactions on Services Computing,2009,IEEE Digital Library,223-244,2,"For a system of distributed processes, correctness can be ensured by (statically) checking whether their composition satisfies properties of interest. However, Web services are distributed processes that dynamically discover properties of other Web services. Since the overall system may not be available statically and since each business process is supposed to be relatively simple, we propose to use runtime monitoring of conversations between partners as a means of checking behavioral correctness of the entire Web service system. Specifically, we identify a subset of UML 2.0 Sequence Diagrams as a property specification language and show that it is sufficiently expressive for capturing safety and liveness properties. By transforming these diagrams to automata, we enable conformance checking of finite execution traces against the specification. We show how our language can be used to specify the Specification Property System (SPS) [1]. We describe an implementation of our approach as part of an industrial system. Finally, we discuss our experience of specifying and monitoring a number of properties from three existing applications.",,10.1109/TSC.2009.16,,,,Monitoring;Web services;Automata;Runtime;Unified modeling language;Data mining;Probability density function;Nondeterministic finite automata;runtime monitoring;sequence diagrams;temporal logic patterns;Web service conversations.,,1939-1374,,,Rejected,Studies that do not address Architectural Conformance Checking as a central topic.
Verifying conformance between Web service choreography and implementation using learning and model checking,"Pacharoen, Warawoot and Aoki, Toshiaki and Bhattarakosol, Pattarasinee and Surarerks, Athasit",,2011,IEEE Digital Library,375-381,2,"A conformance problem between Web service choreography and orchestration has attracted much interest in the research field of Web service composition. A number of formal languages have been proposed for describing both choreography and orchestration. Moreover, various notions of conformance between them have been formally defined. In most of the earlier works, however, it is assumed that the internal structures of implemented orchestration are explicit. It may not always be the case, such as the Web services implemented in. NET or Java. In this paper, we have investigated an alternative approach for verifying a conformance between choreography and the implementation whose only external behavior can be observed. We use an adapted version of Angluin's algorithm to infer a Mealy machine from the implemented Web service. By transforming the Mealy machine to the modeling formalism LTS, the model checker LTSA can be used for checking the conformance criterion in our framework.",,,,,,Analytical models;Business;Machine learning;Inference algorithms;Algorithm design and analysis;Service oriented architecture;Web service composition;Choreography;Conformance verification;Learning algorithm;Model checking,,,,,Rejected,Studies that do not address Architectural Conformance Checking as a central topic.
Conformance Checking and QoS Optimizing of Web Service Composition,"Zhang, Guojun",,2013,IEEE Digital Library,784-787,,"Due to the inherent autonomy and heterogeneity of component Web services it is difficult to predict the behavior of the overall composite service. Besides, the performance of the composed application is determined by the performance of the involved component web services. Therefore, the behavior conformance and non-functional quality of service (QoS) properties are crucial for selecting the web services to take part in the composition. The behavior conformance of component services is the guarantee of the correctness of Web service composition, and QoS properties can identify the best candidate web services from a set of functionally-equivalent services. In this paper, two formal judgmental rules are presented, which check conformance of local behavior of every component service to global interaction. We also use skyline computation to select services for composition effectively and efficiently, reducing the number of candidate services to be considered. We also define aggregation functions, and use a Multiple Attribute Decision Making approach for the utility function to achieve Qos-based optimal service selection. We evaluate our approach experimentally using both real and synthetically generated datasets.",,10.1109/CIS.2013.171,,,,Quality of service;Business;Semantics;Educational institutions;Service-oriented architecture;Grammar,,,,,Rejected,Studies that do not address Architectural Conformance Checking as a central topic.
Exercising control over the design of evolving software systems using an inverse application of reflexion modeling,"Gear, Andrew Le and Buckley, Jim",,2006,ACM Digital Library,37–es,,"A software designer often has little control over, or a means of checking, whether his design is being adhered to once implementation begins. This 'architectural drift,' where the original design and the design of the implemented system diverge can cause serious problems for evolution, maintenance and the comprehensibility of a system if it remains undocumented. The earlier such discrepancies can be identified the better. This paper proposes a process for design control based on an inverted use of a design recovery technique called Reflexion Modeling that allows the software designer to enforce his design decisions during the implementation phase of the software engineering process.A large industrial case study of the development of an IBM system called DAP is used to demonstrate the effectiveness of the process. Based on a comparison between the old implementation of DAP and the new version, our findings suggests that better design control is achievable using our inverse Reflexion Modeling approach. This is because, during the case study our process revealed violations in the design of DAP. These were captured early and marked for correction. The violations were present in spite of the fact that the architect and implementer of the system was the same person. This indicates that design violations are very easily introduced and often unintentional, particularly in larger team-development contexts.Another measure of the value of the approach is the uptake of the tool by others in the organization. This has been quite rapid, with up to 15 installations since this work began. The next step will be to monitor several more iterations of the design control process and report upon the results of this new data.",,10.1145/1188966.1189016,https://doi.org/10.1145/1188966.1189016,,,,IBM Corp.,,,,Rejected,Short papers lacking sufficient methodological detail to assess the proposed approach.
"Focus: A Light-Weight, Incremental Approach to Software Architecture Recovery and Evolution","Ding, Lei and Medvidovic, Nenad",,2001,ACM Digital Library,191,,"During the past decade, object-orientation (OO) has become the dominant software development methodology, accompanied by a number of modeling notations, programming languages, and development environments. OO applications of today are increasingly complex and user-driven. They are also developed more rapidly and evolved more frequently than was the case with software systems of the past. All of these factors contribute to a plethora of potential problems when maintaining and evolving an OO application. These problems are caused by architectural erosion, where the initial architecture of an application is (arbitrarily) modified to the point where its key properties no longer hold. We propose an approach, called Focus, whose goal is to enable effective evolution of such an application with minimal effort, by recovering its architecture and using it as the basis of evolution. Focus allows engineers to direct their primary attention to the part of the system that is directly impacted by the desired change; subsequent changes will incrementally uncover additional parts of the system's architecture. We have applied Focus to four off-the-shelf applications to date. We discuss its key strengths and point out several open issues that will frame our future work.",,10.1109/WICSA.2001.948429,https://doi.org/10.1109/WICSA.2001.948429,,,"GUI, OO, Software architecture, evolution, recovery",IEEE Computer Society,,,,Rejected,Studies that do not address Architectural Conformance Checking as a central topic.
Predicting Emergent Properties of Component Based Systems,"Bhattacharya, Sutirtha and Perry, Dewayne E.",,2007,ACM Digital Library,41–50,,"Software Product Lines (SPL), Component Based Software Engineering (CBSE) and Commercial Off the Shelf (COTS) components provide a rich supporting base for creating software architectures. Further, they promise significant improvements in the quality of software configurations that can be composed from prebuilt components. Software architectural styles provide a way for achieving a desired coherence for such component-based architectures. This is because the different architectural styles enforce different quality attributes for a system. If the architectural style of an emergent system could be predicted in advance, the System Architect could make necessary changes to ensure that the quality attributes dictated by the system requirements were satisfied before the actual system was deployed. In this paper we propose a model for predicting architectural styles, and hence the quality attributes, based on use cases that need to be satisfied by a system configuration. Our technique can be used to determine stylistic conformance and hence indicate the presence or absence of architectural drift.",,10.1109/ICCBSS.2007.25,https://doi.org/10.1109/ICCBSS.2007.25,,,,IEEE Computer Society,,,,Rejected,Studies that do not address Architectural Conformance Checking as a central topic.
"Microservice Security Metrics for Secure Communication, Identity Management, and Observability","Zdun, Uwe and Queval, Pierre-Jean and Simhandl, Georg and Scandariato, Riccardo and Chakravarty, Somik and Jelic, Marjan and Jovanovic, Aleksandar",ACM Trans. Softw. Eng. Methodol.,2023,ACM Digital Library,,32,"Microservice architectures are increasingly being used to develop application systems. Despite many guidelines and best practices being published, architecting microservice systems for security is challenging. Reasons are the size and complexity of microservice systems, their polyglot nature, and the demand for the continuous evolution of these systems. In this context, to manually validate that security architecture tactics are employed as intended throughout the system is a time-consuming and error-prone task. In this article, we present an approach to avoid such manual validation before each continuous evolution step in a microservice system, which we demonstrate using three widely used categories of security tactics: secure communication, identity management, and observability. Our approach is based on a review of existing security guidelines, the gray literature, and the scientific literature, from which we derived Architectural Design Decisions (ADDs) with the found security tactics as decision options. In our approach, we propose novel detectors to detect these decision options automatically and formally defined metrics to measure the conformance of a system to the different options of the ADDs. We apply the approach to a case study data set of 10 open source microservice systems, plus another 20 variants of these systems, for which we manually inspected the source code for security tactics. We demonstrate and assess the validity and appropriateness of our metrics by performing an assessment of their conformance to the ADDs in our systems’ dataset through statistical methods.",,10.1145/3532183,https://doi.org/10.1145/3532183,,,"Microservice architecture, microservice security, software architecture metrics, software architecture detectors",Association for Computing Machinery,1049-331X,,,Rejected,Studies that do not address Architectural Conformance Checking as a central topic.
Co-evolution of component-based architecture-model and object-oriented source code,"Langhammer, Michael",,2013,ACM Digital Library,37–42,,"With the evolution of software systems, architecture model and system implementation tend to drift apart. While suitable architecture model supports architects and developers in better understanding the software system, the missing synchronization to source code of the underlying implementation can result in outdated architecture models. In this paper, we address two challenges in today's architecture-driven software development: architecture drift and architecture erosion. We introduce a co-evolution approach of a component-based architecture model and object-oriented source code. Our novel approach supports software architects and software developers by introducing a tight and continuous synchronization of a component-based architecture model and the source code. To get architecture evolution under control, our co-evolution approach maps architecture changes done via the source code to the architecture model and vice versa. This explicit support of changes and refactorings at architecture-level prevents unintended architecture violations. In order to evaluate our approach, we plan different case studies whose layout is designed in the evaluation section.",,10.1145/2465498.2465504,https://doi.org/10.1145/2465498.2465504,,,co-evolution,Association for Computing Machinery,,,,Rejected,"Studies that are clearly misaligned with the research questions, even if they mention ACC-related terms."
Consistency Management for Security Annotations for Continuous Verification,"Reiche, Frederik and Weber, Thomas and Becker, Simeon and Weber, Sebastian and Heinrich, Robert and Burger, Erik",,2024,ACM Digital Library,1096–1105,,"Analyses on the architecture of systems can yield valuable insights into a system even before it is built. The applicability of the results of these design time analyses to the system requires the system to be built according to its specification, i.e., to not violate constraints defined on the architecture. The conformance of the results of static code analyses and design time analyses ensures the system is built according to its specification. The first step for conforming results of these analyses is to ensure that the system and its specification is represented consistently in the input of the design time analysis and static code analysis, i.e., they comprise corresponding system elements and specifications for them. To achieve conforming inputs, we used consistency specifications between architecture and code models and implemented them between annotation models that enrich the architecture description with security annotations on the architecture level, as well as security annotations on the code level. This allows the continuous conformance checking during implementation and later during evolution of the system. We implemented the consistency specifications in the Vitruvius framework for an ADL and Java and tested it on case studies.",,10.1145/3652620.3687821,https://doi.org/10.1145/3652620.3687821,,,"model-based analysis, consistency management, development framework, early and continuous verification",Association for Computing Machinery,,,,Rejected,"Studies that are clearly misaligned with the research questions, even if they mention ACC-related terms."
Supporting Software Evolution by Integrating DSL-based Architectural Abstraction and Understandability Related Metrics,"Stevanetic, Srdjan and Haitzer, Thomas and Zdun, Uwe",,2014,ACM Digital Library,,,"Software architecture erosion and architectural drift are well known software evolution problems. While there exist a number of approaches to address these problems, so far in these approaches the understandability of the resulting architectural models (e.g., component models) is seldom studied. However, reduced understandability of the architectural models might lead to problems similar to architecture erosion and architectural drift. To address this problem, we propose to extend our existing DSL-based architecture abstraction approach with empirically evaluated understandability metrics. While the DSL-based architecture abstraction approach enables software architects to keep source code and architecture consistent, the understandability metrics extensions enables them, while working with the DSL, to continuously judge the understandability of the architectural component models they create with the DSL. We studied the applicability of our approach in a case study of an existing open source system.",,10.1145/2642803.2642822,https://doi.org/10.1145/2642803.2642822,,,"Architectural Abstraction, Architectural Component Views, DSL, Empirical Evaluation, Software Evolution, Software Metrics, Understandability",Association for Computing Machinery,,,,Rejected,"Studies that discuss software architecture in general without addressing conformance, compliance, or consistency."
Monitoring Behavioral Compliance with Architectural Patterns Based on Complex Event Processing,"Krieger, Christoph and Breitenb\""{u}cher, Uwe and Falkenthal, Michael and Leymann, Frank and Yussupov, Vladimir and Zdun, Uwe",,2020,ACM Digital Library,125–140,,"Architectural patterns assist in the process of architectural decision making as they capture architectural aspects of proven solutions. In many cases, the chosen patterns have system-wide implications on non-functional requirements such as availability, performance, and resilience. Ensuring compliance with the selected patterns is of vital importance to avoid architectural drift between the implementation and its desired architecture. Most of the patterns not only capture structural but also significant behavioral architectural aspects that need to be checked. In case all properties of the system are known before runtime, static compliance checks of application code and configuration files might be sufficient. However, in case aspects of the system dynamically evolve, e.g., due to manual reconfiguration, compliance with the architectural patterns also needs to be monitored during runtime. In this paper, we propose to link compliance rules to architectural patterns that specify behavioral aspects of the patterns based on runtime events using stream queries. These queries serve as input for a complex event processing component to automatically monitor architecture compliance of a running system. To validate the practical feasibility, we applied the approach to a set of architectural patterns in the domain of distributed systems and prototypically implemented a compliance monitor.",,10.1007/978-3-030-44769-4_10,https://doi.org/10.1007/978-3-030-44769-4_10,,,"Architecture compliance, Architectural patterns, Behavioral compliance monitoring, Complex event processing",Springer-Verlag,,,,Accepted,"Studies addressing ACC in microservice-based systems, including cloud-native and event-driven distributed architectures explicitly aligned with the microservices paradigm."
Assessing architectural drift in commercial software development: a case study,"Rosik, Jacek and Le Gear, Andrew and Buckley, Jim and Babar, Muhammad Ali and Connolly, Dave",Softw. Pract. Exper.,2011,ACM Digital Library,63–86,41,"Objectives: Software architecture is perceived as one of the most important artefacts created during a system's design. However, implementations often diverge from their intended architectures: a phenomenon called architectural drift. The objective of this research is to assess the occurrence of architectural drift in the context of de novo software development, to characterize it, and to evaluate whether its detection leads to inconsistency removal. Method: An in vivo, longitudinal case study was performed during the development of a commercial software system, where an approach based on Reflexion Modelling was employed to detect architectural drift. Observation and think-aloud data, captured during the system's development, were assessed for the presence and types of architectural drift. When divergences were identified, the data were further analysed to see if identification led to the removal of these divergences. Results: The analysed system diverged from the intended architecture, during the initial implementation of the system. Surprisingly however, this work showed that Reflexion Modelling served to conceal some of the inconsistencies, a finding that directly contradicts the high regard that this technique enjoys as an architectural evaluation tool. Finally, the analysis illustrated that detection of inconsistencies was insufficient to prompt their removal, in the small, informal team context studied. Conclusions: Although the utility of the approach for detecting inconsistencies was demonstrated in most cases, it also served to hide several inconsistencies and did not act as a trigger for their removal. Hence additional efforts must be taken to lessen architectural drift and several improvements in this regard are suggested. Copyright © 2010 John Wiley &amp; Sons, Ltd.",,10.1002/spe.999,https://doi.org/10.1002/spe.999,,,"architecture consistency, architecture degeneration, reflection models, software/program verification","John Wiley &amp; Sons, Inc.",0038-0644,,,Rejected,"Studies that are clearly misaligned with the research questions, even if they mention ACC-related terms."
An industrial case study of architecture conformance,"Rosik, Jacek and Le Gear, Andrew and Buckley, Jim and Ali Babar, Muhammad",,2008,ACM Digital Library,80–89,,"A software designer often has little control over, or means of checking, whether his design is being adhered to, once the implementation begins. This 'architectural drift', where the original design of the system and the as-implemented design of the system diverge, can cause serious problems for evolution, maintenance and the comprehensibility of a system if it remains undocumented or uncorrected. The earlier such discrepancies can be identified, the better.This paper reports on a case study designed to evaluate a proposed approach for monitoring architectural drift during software development. The proposed approach differs significantly from existing design conformance approaches in that it has been designed for application within a forward engineering context. The findings show the utility of the approach in identifying architectural drift but also illustrate a number of improvements that could be made to the technique to further promote architecture conformance.",,10.1145/1414004.1414019,https://doi.org/10.1145/1414004.1414019,,,"architectural drift, architecture conformance, industrial experience, reflexion modelling",Association for Computing Machinery,,,,Rejected,"Studies that are clearly misaligned with the research questions, even if they mention ACC-related terms."
Detecting deviations in the code using architecture view-based drift analysis,"Uzun, Burak and Tekinerdogan, Bedir",Comput. Stand. Interfaces,2024,ACM Digital Library,,87,,,10.1016/j.csi.2023.103774,https://doi.org/10.1016/j.csi.2023.103774,,,"Software architecture reconstruction, Model-driven development, Architecture drift analysis, Architecture drift",Elsevier Science Publishers B. V.,0920-5489,,,Rejected,"Studies that are clearly misaligned with the research questions, even if they mention ACC-related terms."
Complementing model-driven development for the detection of software architecture erosion,"Herold, Sebastian and Rausch, Andreas",,2013,ACM Digital Library,24–30,,"Detecting software architecture erosion is an important task during the development and maintenance of software systems. Even in model-driven approaches in which consistency between artifacts can partially be established by construction and consistency issues have been intensively investigated, the intended architecture and its realization may diverge with negative effects on software quality.In this article, we describe an approach to flexible architecture erosion detection for model-driven development approaches. Consistency constraints expressed by architectural aspects called architectural rules are specified as formulas on a common ontology, and models are mapped to instances of that ontology. A knowledge representation and reasoning system is then utilized to check whether these architectural rules are satisfied for a given set of models.We describe three case studies in which this approach has been used to detect architecture erosion flexibly and argue that the negative effects of architecture erosion can be minimized effectively.",,,,,,"architecture conformance checking, inter-model consistency, software architecture, software architecture erosion",IEEE Press,,,,Rejected,"Studies that are clearly misaligned with the research questions, even if they mention ACC-related terms."
Model-Driven Software Architecture Conformance Analysis,"Uzun, Burak and M., Ak\c{s}it, and M., Chaudron, and H., Vangheluwe, and J, Pennings,",,2021,ACM Digital Library,,,"Every software system has an architecture that defines the gross-level structure of the system and consists of architectural components, relations and their interactions. A common practice to model software architectures is based on the notion of so-called architecture viewpoints, which define the templates and guidelines for the architecture from the perspective of one or more stakeholder concerns. Based on architecture viewpoints, architecture views can be derived for a particular system. Usually, the architecture of a system consists of multiple architecture views. Since software systems constantly evolve, the software code can start to diverge from the documented software architecture. Architecture conformance analysis methods have been proposed that compare and check the differences between the code and the software architecture. Elements in the code might conform to the elements in the architecture, elements might be absent, or the code might diverge from the architecture and introduce new elements. Conformance analysis is performed on two levels which are code and architecture levels. Codelevel conformance analysis employs intended architecture to generate runnable specifications that are executed on the code to reveal divergence or absence relations. Architecture level conformance analysis employs reconstructed architecture from implementation and compares intended architecture with reconstructed architecture. Manually checking for divergence and absence relations in large-scale software systems is time-consuming and cumbersome; hence, most conformance analysis methods in the industry are either semi-automated or fully automated. Software testing can be used to detect the divergence and absence relations. Automation in software testing can be achieved by model-based testing techniques. Modelbased testing is a software testing technique in which certain aspects of software system behaviours are defined in a model that is a basis for abstract tests. Concrete tests are derived from these abstract tests and executed against the software system under test.The main objective in this thesis is to define model-driven conformance analysis methodologies to detect the absence and divergence relations of software systems. To this end we answered the following research questions:RQ1:What are current solutions for model-driven architecture-based testing?RQ2:What are the limitations and benefits of code level model-based architecture conformance analysis using architecture viewpoints?RQ3:What are the characteristic features of architecture reconstruction methods?RQ4:What are the limitations and benefits of architecture level model-based architecture conformance analysis using architecture viewpoints?To answer these research questions, we used five different research methodologies which are: Systematic Literature Review, Case Study Research, Survey Study, Domain Analysis, Design Science Research.In chapter 2, we applied a systematic literature review for model-driven architecture based testing. We defined three research questions which are related to identifying addressed concerns, proposed solutions and existing research directions. We thoroughly analyzed 31 primary studies out of 739 studies. Firstly, we identified two concerns for applying MDABT which are: code to architecture conformance checking and internal architecture consistency checking. Furthermore, we derived a generic process model for model-driven architecture- based testing. Lastly, we identified current obstacles and existing research directions based on selected primary studies. We identified seven obstacles for MDABT which are: the need for executable models for representing architecture, coping with the abstraction difference between architecture and code, the combinatorial state explosion problem, the lack of architecture views to consider multiple different concerns, the need for automating the process by tools, the costbenefit analysis, and the need for applying ",,,,,,,Wageningen University and Research,,,AAI28820543,Rejected,"Theses, dissertations, monographs, or books."