ID,QA1.1,QA1.2,QA1.3,QA2.1,QA2.2,QA3.1,QA3.2,QA3.3,Total
S01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0
S02,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0
S03,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0
S04,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,7.0
S05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0
S06,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0
S07,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0
S08,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,7.5
S09,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0
S10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0
S11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0
S12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0
S13,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,7.5
S14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,7.5
S15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0
S16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0
S17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0
S18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0
S19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0
S20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0
S21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0
S22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0
S23,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,7.5
S24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0
S25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0
S26,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,7.5
S27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0
S28,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0
S29,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0
S30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0
S31,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0
S32,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0
S33,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,7.5