study_id,title,authors,year,venue,publication_type,doi,,system_type,origin,rule_exists,rule_source,rule_category,rule_description,rule_scope,rule_representation,rule_formality,rule_machine_readable,design_decisions_considered,rq1_evidence,notes_rq1,recovery_required,recovery_source,recovery_approach,recovery_automation,recovery_tool,recovery_granularity,recovery_output,recovery_language,recovery_runtime_support,rq2_evidence,notes_rq2,acc_type,comparison_basis,analysis_time,verification_technique,violation_detection,violation_output,automation_level,continuous_support,feedback_or_refactoring,scalability_evidence,rq3_evidence,notes_rq3,evaluation_type,subject_system,industrial_context,threats_reported,primary_focus,relevance_rq1,relevance_rq2,relevance_rq3,extractor_notes
S01,Automatic reference architecture conformance checking for SOA - Based software systems,"Weinreich, Rainer and Buchgeher, Georg",2014,IEEE/IFIP Conference on Software Architecture (WICSA),conference,10.1109/WICSA.2014.22,https://doi.org/10.1109/WICSA.2014.22,service-oriented,DL,yes,planned architecture; literature best practices,communication / dependency,Constraints on roles and role relationships in a company-wide RA.,system,model; DSL (LISA),semi-formal,yes,yes,"""Reference architectures are defined based on rules consisting of roles and of constraints on roles and role relationships."" (p. 95)",,yes,source code; config,model extraction; static analysis,automatic,LISA toolkit,service; component; class,model; graph,LISA (UML-like),no,"""The whole process of architecture conformance checking including the extraction of an architecture model from an existing software system... can be performed automatically in our approach."" (p. 103)",,rule checking,rules vs recovered architecture,design-time,model comparison,explicit violations,list; dashboard,automatic,yes,no,industrial,"""The result of the checking process (i.e., the rule violations) can be visualized in architecture diagrams."" (p. 99)",,case study (action research),"CRM, SEC, CDT subsystems (Bank)",yes,yes,RA conformance for SOA,high,high,high,Foca na linguagem LISA e domínio bancário.
S02,Ensuring and assessing architecture conformance to microservice decomposition patterns,"Zdun, Uwe and Navarro, Elena M. and Leymann, Frank",2017,International Conference on Service-Oriented Computing (ICSOC),conference,10.1007/978-3-319-69035-3_29,https://doi.org/10.1007/978-3-319-69035-3_29,microservices,DL,yes,patterns; anti-patterns; literature best practices,decomposition; coupling; dependency; persistence,Pattern conformance: independently deployable components and avoidance of shared dependencies.,system,model; metrics,formal,yes,yes,"""Based on existing microservice patterns
 we have hypothesized a number of constraints and metrics to make an automated judgment on microservice architecture decomposition."" (p. 412)",,yes,source code; API specs,static analysis,semi-automatic,FMF; CodeableModels,component; dependency,model; metrics,UML2; custom DSL,no,"""We can claim that our approach can easily be mapped using an automated mapping from the source code to an architecture model, assuming standard component model abstractions, such as those in UML2"" (p. 427)",,metrics-based; rule checking,rules vs recovered architecture,design-time,metric calculation,explicit violations; thresholds,metrics; score,semi-automatic,yes,no,open-source,"""Based on existing microservice patterns we have hypothesized a number of constraints and metrics to make an automated judgment"" (p. 412)",,experiment,"13 models (EC1-8, RB, TH1-3, SA)",no,yes,Patterns for MSA decomposition,high,high,high,
S03,Evaluation of microservice architectures: A metric and tool-based approach,Thomas Engel; Melanie Langermeier; Bernhard Bauer; and Alexander Hofmann,2018,International Conference on Advanced Information Systems Engineering (CAiSE),conference,10.1007/978-3-319-92901-9_8,https://doi.org/10.1007/978-3-319-92901-9_8,microservices,SB_forward,yes,literature best practices; patterns,communication; coupling; domain alignment; decomposition,"Adherence to 10 principles (small size, loose coupling, DDD, etc.).",service; system,metrics (GQM); model,semi-formal,yes,yes,"""we identified 10 principles for the design of microservice architectures... To evaluate the principles, we derive metrics using the Goal Question Metric (GQM) approach"" (p. 79-80)",,yes,traces; logs,dynamic analysis,automatic,MAAT,service; dependency,graph; metrics,JSON; custom,yes,"""The required architecture data is captured with a reverse engineering approach from traces of communication data."" (p. 74)",,metrics-based,metrics thresholds,runtime,metric calculation; tracing,threshold deviations,metrics; dashboard,automatic,yes,no,industrial,"""Using the Goal Question Metric approach we derived automatic executable metrics to evaluate the recovered dependency model."" (p. 88)",,case study ,Information system (Pr5),yes,no,Principle-based MSA evaluation,high,high,high,Foco em análise dinâmica de logs.
S04,Freshening the air in microservices: resolving architectural smells via refactoring.,"Antonio Brogi, Davide Neri, and Jacopo Soldani",2019,International Conference on Service-Oriented Computing (ICSOC),conference,10.1007/978-3-030-45989-5_2,https://doi.org/10.1007/978-3-030-45989-5_2,microservices,SB_backward,yes,anti-patterns; literature best practices,communication; persistence; decomposition,"Conditions to identify 4 smells: no API gateway, endpoint interaction, wobbly interaction, shared persistence.",system,model (µTOSCA),formal,yes,no,"""we formally define the conditions to identify the occurrence the considered architectural smells in a microservice-based application"" (p. 18)",,yes,config (Kubernetes); mixed,static analysis,semi-automatic,microFreshener,service; dependency,graph (µTOSCA),TOSCA,no,""" instead propose different solutions for microservice-based architecture recovery...
 could then be used in conjunction with our approach, to first derive the architecture of a microservice-based application"" (p. 26)",,smell detection,rules vs recovered architecture,design-time,graph analysis; constraint solving,smells,recommendations,automatic,no,yes,none,"""we formally define the conditions to identify the occurrence the considered architectural smells in a microservice-based application"" (p. 18)",,example,µFRESHENER prototype demo,no,no,Smell resolution via refactoring,high,medium,high,Baseado em µTOSCA.
S05,Assessing architecture conformance to coupling-related patterns and practices in microservices,"Ntentos, Evangelos and Zdun, Uwe and Plakidas, Konstantinos and Meixner, Sebastian and Geiger, Sebastian",2020,International Conference on Service-Oriented Computing (ICSOC),conference,10.1007/978-3-030-58923-3_1,https://doi.org/10.1007/978-3-030-58923-3_1,microservices,DL,yes,literature best practices; patterns,coupling; persistence; communication,"Conformance to coupling-related patterns (e.g., shared databases, asynchronicity).",system,metrics; model,formal,yes,yes,"""metrics, connected to typical design decisions encountered in microservice architectures."" (p. 136)",,yes,source code; documentation,manual; static analysis,manual,CodeableModels,component; connector,model; metrics,UML; custom,no,"""We performed a fully manual static code analysis for those models where the source code was available"" (p. 126)",,metrics-based,rules vs recovered architecture,design-time,metric calculation; heuristic,explicit violations,score,automatic,yes,no,open-source,"""metrics (and combinations thereof) were applied on the models... and then compared to the ground truth assessment via an ordinal regression analysis"" (p. 101)",,case study,27 models (from 9 sources),no,yes,Conformance to coupling patterns,high,high,high,
S06,Metrics for assessing architecture conformance to microservice architecture patterns and practices,"Ntentos, Evangelos and Zdun, Uwe and Plakidas, Konstantinos and Meixner, Sebastian and Geiger, Sebastian",2020,International Conference on Service-Oriented Computing (ICSOC),conference,10.1007/978-3-030-65310-1_42,https://doi.org/10.1007/978-3-030-65310-1_42,microservices,DL,yes,literature best practices; patterns,communication; persistence; observability,"Conformance to decisions on external API, message persistence, and end-to-end tracing.",system; API,metrics; model,formal,yes,yes,"""metrics, tied to typical architectural design decisions in the microservice domain."" (p. 178)",,yes,source code; documentation,manual; static analysis,manual,CodeableModels,component; connector,model; metrics,UML; custom,no,"""We performed a fully manual static code analysis for those models where the source code was available"" (p. 160)",,metrics-based,rules vs recovered architecture,design-time,metric calculation; heuristic,explicit violations,score,automatic,yes,no,open-source,"""automatic metrics-based assessment of a system's conformance to the tenets embodied in each design decision is possible"" (p. 156)",,case study,24 models (from 9 sources),no,yes,Conformance to security/API ADDs,high,high,high,
S07,Applying a multi-platform architectural conformance solution in a real-world microservice-based system,"Araujo, Elena A. and Espíndola, Álvaro M. and Garcia, Vinícius Cardoso and Terra, Ricardo",2020,"Brazilian Symposium on Software Components, Architectures, and Reuse (SBCARS)",conference,10.1145/3425269.3425270,https://doi.org/10.1145/3425269.3425270,microservices,DL,yes,planned architecture; literature best practices,communication; dependency,"Explicit restrictions on inter-service communication (cannot-communicate, etc.).",system; service,DSL (DCL+),semi-formal,yes,yes,"""we specify an architectural constraint language, called DCL+-adapted from the DCL (Dependency Constraint Language) language"" (p. 39)",,yes,source code,static analysis,automatic,DCL+check,class; service; dependency,violations; metrics,DCL+ (custom),no,"""this module extracts from the source-code of each microservice the invocation of other microservices and stores such information in a HashMap structure."" (p. 44)",,rule checking,rules vs recovered architecture,design-time,static analysis; AST,explicit violations,list of violations,automatic,yes,no,industrial,"""the verifiers will check the extracted dependencies against the DCL+ constraints."" (p. 45)",,case study,Bank Conciliation,yes,yes,Multi-platform communication ACC,high,high,high,Introduz a linguagem DCL+.
S08,Towards a method for monitoring the coupling evolution of microservice-based architectures,"de Freitas Apolinário, Daniel Rodrigo and de França, Breno Bernard Nicolau",2020,"Brazilian Symposium on Software Components, Architectures, and Reuse (SBCARS)",conference,10.1145/3425269.3425273,https://doi.org/10.1145/3425269.3425273,microservices,DL,yes,literature best practices; inferred,coupling; evolution,Monitoring upward trends in coupling metrics as indicators of erosion.,system; runtime,metrics; graph,formal,yes,no,"""Longitudinal analysis of the collected measures allows detecting an upward trend in coupling metrics that could be signs of architectural erosion."" (p. 71)",,yes,traces; telemetry,dynamic analysis,automatic,custom tool (Istio),service; dependency,graph; dashboard,DOT,yes,"""this method collects coupling metrics during runtime (staging or production environments) and monitors them throughout software evolution."" (p. 71)",,anomaly detection; metrics-based,baseline versions; trends,evolution-time,metric calculation; longitudinal analysis,trends,dashboard; alert,automatic,yes,no,toy example,"""Longitudinal analysis of the collected measures allows detecting an upward trend in coupling metrics that could be signs of architectural erosion."" (p. 71)",,experiment,Artificially generated graphs,no,yes,Coupling evolution monitoring,medium,high,high,
S09,Monitoring Behavioral Compliance with Architectural Patterns Based on Complex Event Processing,"Krieger, Christoph and Breitenb\""{u}cher, Uwe and Falkenthal, Michael and Leymann, Frank and Yussupov, Vladimir and Zdun, Uwe",2020,European Conference on Service-Oriented and Cloud Computing (ESOCC),conference,10.1007/978-3-030-44769-4_10,https://doi.org/10.1007/978-3-030-44769-4_10,microservices,DL,yes,patterns; planned architecture,behavior; communication; observability,Runtime monitoring of behavioral aspects of patterns like Circuit Breaker and Rate Limiting.,system; runtime,DSL; model (stream queries),formal,yes,yes,"""specify behavioral aspects described by architectural patterns as so-called Pattern Compliance Rules that serve as input for an architectural compliance monitoring system"" (p. 126)",,yes,runtime telemetry,dynamic analysis,automatic,custom tool (Esper),service; interaction,metrics; violations,Esper EPL,yes,"""these queries serve as input for a complex event processing component to automatically monitor architecture compliance of a running system."" (p. 125)",,rule checking; pattern detection,rules vs runtime behavior,runtime,CEP (Complex Event Processing),explicit violations,list of violations,automatic,yes,no,toy example,"""queries serve as input for a complex event processing component to automatically monitor architecture compliance of a running system."" (p. 125)",,example,Rate Limiting / Circuit Breaker demo,no,no,Behavioral compliance monitoring,high,high,high,
S10,"The mTOSCA toolchain: Mining, analyzing, and refactoring microservice-based architectures.","Jacopo Soldani, Giuseppe Muntoni, Davide Neri, and Antonio Brogi. ",2021,Software: Practice and Experience,journal,10.1002/spe.2974,https://doi.org/10.1002/spe.2974,microservices,SB_backward,yes,literature best practices; patterns,communication; persistence; decomposition; coupling,"Taxonomy of principles, smells, and refactorings (e.g., add API gateway, split database).",system,model (µTOSCA),formal,yes,no,"""Our industry-oriented multivocal review singled out the most recognized architectural smells violating key principles of microservices and the architectural refactorings"" (p. 1603)",,yes,config (K8s); logs,hybrid,automatic,µMINER,service; container; database,graph (µTOSCA),TOSCA,yes,"""We present a technique to automatically mine the µTOSCA representation of the architecture of existing microservice-based applications starting from their deployment in Kubernetes."" (p. 1593)",,smell detection,rules vs recovered architecture,runtime,graph analysis; constraint solving,smells,recommendations; refactoring,automatic,yes,yes,industrial,"""ours is the first toolchain enabling to... resolving the occurrence of architectural smells in microservice-based applications."" (p. 1616)",,case study,"Boutique, Sock Shop, Smart Factory",yes,no,Mined architecture refactoring,high,high,high,Toolchain µMINER/µFRESHENER.
S11,Evaluating and Improving Microservice Architecture Conformance to Architectural Design Decisions,"Ntentos, Evangelos and Zdun, Uwe and Plakidas, Konstantinos and Geiger, Sebastian",2121,International Conference on Service-Oriented Computing (ICSOC),conference,10.1007/978-3-030-91431-8_12,https://doi.org/10.1007/978-3-030-91431-8_12,microservices,DL,yes,literature best practices; patterns,communication; persistence; observability,"Automated detection of violations related to External API, message persistence, and tracing.",system; API,model; metrics,formal,yes,yes,"""For every ADD design option, we define every possible violation and propose a corresponding, automated violation detection algorithm"" (p. 426)",,yes,source code; API specs,static analysis,semi-automatic,CodeableModels,component; API,model; metrics,UML; custom,no,"""We are currently working on a semi-automatic approach for architecture reconstruction and modelling that relies on reusable code abstractions"" (p. 426)",,smell detection,rules (ADDs) vs recovered architecture,design-time,graph analysis; metric calculation,smells,recommendations; refactoring,semi-automatic,yes,yes,open-source,"""For every ADD design option, we define every possible violation and propose a... violation detection algorithm, as well as a set of possible fixes."" (p. 329)",,case study,24 models (from 9 sources),no,yes,Improving conformance to ADDs,high,medium,high,
S12,Semi-automatic Feedback for Improving Architecture Conformance to Microservice Patterns and Practices,"Ntentos, Evangelos and Zdun, Uwe and Plakidas, Konstantinos and Geiger, Sebastian",2021,International Conference on Software Architecture (ICSA),conference,10.1109/ICSA51549.2021.00012,https://doi.org/10.1109/ICSA51549.2021.00012,microservices,DL,yes,literature best practices; patterns,coupling; persistence; communication; dependency,"Violations in data storage, service interconnections, and shared service dependencies.",system,model; metrics,formal,yes,yes,"""For each possible design option in the ADDs, we propose to systematically specify each possible violation."" (p. 36)",,yes,source code; config,static analysis,semi-automatic,CodeableModels,component; connector,model; metrics,UML; custom,no,"""We are currently working on a semi-automatic approach for architecture reconstruction and modelling that relies on reusable code abstractions"" (p. 38)",,smell detection,rules (ADDs) vs recovered architecture,design-time,graph analysis; metric calculation,smells,recommendations; refactoring,semi-automatic,yes,yes,open-source,"""in at most 4 refactoring steps, each of the violations found in the 27 models can be fully resolved"" (p. 37)",,case study,27 models (from 9 sources),no,yes,Continuous feedback for ACC,high,medium,high,
S13,A method for monitoring the coupling evolution of microservice-based architectures,"Apolinário, Daniel R.F. and de França, Breno Bernard Nicolau",2021,Journal of the Brazilian Computer Society,journal,10.1186/s13173-021-00120-y,https://doi.org/10.1186/s13173-021-00120-y,microservices,DL,yes,literature best practices; inferred,coupling; evolution,"Detection of architectural degradation via trends in SID, SDD, ADCS, and SCF metrics.",system; runtime,metrics; graph,formal,yes,no,"""The longitudinal analysis of the collected measures allows detecting an upward trend in coupling metrics that could represent signs of architectural degradation."" (p. 1)",,yes,traces; runtime telemetry,dynamic analysis,automatic,custom tool (Istio),service; dependency,graph; dashboard,DOT,yes,"""this method collects coupling metrics during runtime (staging or production environments) and monitors them throughout software evolution."" (p. 1)",,anomaly detection; metrics-based,baseline versions; trends,evolution-time,metric calculation; longitudinal analysis,trends,dashboard; alert,automatic,yes,no,industrial,"""The longitudinal analysis of the collected measures allows detecting an upward trend in coupling metrics that could represent signs of architectural degradation."" (p. 1)",,case study,Spinnaker,yes,yes,MSA coupling monitoring method,high,high,high,
